post_id,text,text_clean,tokens,majority_label,agreement,targets,cue_tokens,slur_tokens,non_slur_cue_tokens,slur_is_sole_target,target_tokens,framing,speech_act,primary_framing
16878503_gab,<percent> of niggers who get shot by police in america deserve it and should never be conflated with whites who get shot by incompetent <number> iq nigger diversity hire cops,<percent> of niggers who get shot by police in america deserve it and should never be conflated with whites who get shot by incompetent <number> iq nigger diversity hire cops,"['<percent>', 'of', 'niggers', 'who', 'get', 'shot', 'by', 'police', 'in', 'america', 'deserve', 'it', 'and', 'should', 'never', 'be', 'conflated', 'with', 'whites', 'who', 'get', 'shot', 'by', 'incompetent', '<number>', 'iq', 'nigger', 'diversity', 'hire', 'cops']",hatespeech,unanimous,['African'],"['shot', 'shot']","['niggers', 'whites', 'incompetent', 'nigger']","['shot', 'shot']",False,"['niggers', 'nigger']",['INTELLECTUAL_INFERIORITY'],STATEMENT,INTELLECTUAL_INFERIORITY
11004916_gab,and to pour more gasoline on the fire now they are cracking down hard on internet hate speech which is arbitrary and capricious whenever a sand nigger bitches some poor brit going to jail and these muslim parasites have bitching down to an artform helmets people helmets,and to pour more gasoline on the fire now they are cracking down hard on internet hate speech which is arbitrary and capricious whenever a sand nigger bitches some poor brit going to jail and these muslim parasites have bitching down to an artform helmets people helmets,"['and', 'to', 'pour', 'more', 'gasoline', 'on', 'the', 'fire', 'now', 'they', 'are', 'cracking', 'down', 'hard', 'on', 'internet', 'hate', 'speech', 'which', 'is', 'arbitrary', 'and', 'capricious', 'whenever', 'a', 'sand', 'nigger', 'bitches', 'some', 'poor', 'brit', 'going', 'to', 'jail', 'and', 'these', 'muslim', 'parasites', 'have', 'bitching', 'down', 'to', 'an', 'artform', 'helmets', 'people', 'helmets']",hatespeech,unanimous,"['African', 'Islam', 'Women']",['hate'],"['hard', 'nigger', 'poor', 'parasites']",['hate'],False,"['nigger', 'bitches', 'muslim']","['DEHUMANIZATION', 'ECONOMIC_BURDEN']",STATEMENT,DEHUMANIZATION
27064690_gab,jew should be hated they are a disease that needs to eradicated from among white folk they and their subhuman nigger and arab foot soldiers are the enemy their annihilation is not up for negotiation,jew should be hated they are a disease that needs to eradicated from among white folk they and their subhuman nigger and arab foot soldiers are the enemy their annihilation is not up for negotiation,"['jew', 'should', 'be', 'hated', 'they', 'are', 'a', 'disease', 'that', 'needs', 'to', 'eradicated', 'from', 'among', 'white', 'folk', 'they', 'and', 'their', 'subhuman', 'nigger', 'and', 'arab', 'foot', 'soldiers', 'are', 'the', 'enemy', 'their', 'annihilation', 'is', 'not', 'up', 'for', 'negotiation']",hatespeech,unanimous,"['African', 'Jewish']","['disease', 'enemy', 'annihilation']","['jew', 'white', 'nigger']","['disease', 'enemy', 'annihilation']",False,"['nigger', 'jew']",['DEHUMANIZATION'],STATEMENT,DEHUMANIZATION
23896536_gab,oh good just what my state needs more memphricans abortion is a moral abomination when humans do it but niggers are not humans planned parenthood kills nigger babies,oh good just what my state needs more memphricans abortion is a moral abomination when humans do it but niggers are not humans planned parenthood kills nigger babies,"['oh', 'good', 'just', 'what', 'my', 'state', 'needs', 'more', 'memphricans', 'abortion', 'is', 'a', 'moral', 'abomination', 'when', 'humans', 'do', 'it', 'but', 'niggers', 'are', 'not', 'humans', 'planned', 'parenthood', 'kills', 'nigger', 'babies']",hatespeech,unanimous,['African'],"['abortion', 'abomination']","['niggers', 'kills', 'nigger']","['abortion', 'abomination']",False,"['niggers', 'nigger']",['MORAL_DISGUST'],STATEMENT,MORAL_DISGUST
16744089_gab,hey curry nigger race traitor kike fucker possible mossad agent fucker did voat die everything stopped working a few hours ago but the site still live,hey curry nigger race traitor kike fucker possible mossad agent fucker did voat die everything stopped working a few hours ago but the site still live,"['hey', 'curry', 'nigger', 'race', 'traitor', 'kike', 'fucker', 'possible', 'mossad', 'agent', 'fucker', 'did', 'voat', 'die', 'everything', 'stopped', 'working', 'a', 'few', 'hours', 'ago', 'but', 'the', 'site', 'still', 'live']",hatespeech,unanimous,"['African', 'Islam', 'Jewish']",['traitor'],"['nigger', 'race', 'kike']",['traitor'],False,"['nigger', 'kike']",['THREAT_VIOLENCE'],STATEMENT,THREAT_VIOLENCE
17958826_gab,skin color should never determine whether or not one can form their mouth to make a sound just because some idiot finds offense with it nigger equals slave when one acts like a slave one should be called a slave every leftist is a nigger,skin color should never determine whether or not one can form their mouth to make a sound just because some idiot finds offense with it nigger equals slave when one acts like a slave one should be called a slave every leftist is a nigger,"['skin', 'color', 'should', 'never', 'determine', 'whether', 'or', 'not', 'one', 'can', 'form', 'their', 'mouth', 'to', 'make', 'a', 'sound', 'just', 'because', 'some', 'idiot', 'finds', 'offense', 'with', 'it', 'nigger', 'equals', 'slave', 'when', 'one', 'acts', 'like', 'a', 'slave', 'one', 'should', 'be', 'called', 'a', 'slave', 'every', 'leftist', 'is', 'a', 'nigger']",hatespeech,unanimous,['African'],"['offense', 'slave', 'slave', 'slave']","['idiot', 'offense', 'nigger', 'nigger']","['slave', 'slave', 'slave']",False,['nigger'],"['INTELLECTUAL_INFERIORITY', 'GENERALIZATION']",STATEMENT,INTELLECTUAL_INFERIORITY
19843612_gab,fla shooting please dear god let it be a white ginger who snapped from being abandoned and trapped in monkey and carrabian nigger hell,fla shooting please dear god let it be a white ginger who snapped from being abandoned and trapped in monkey and carrabian nigger hell,"['fla', 'shooting', 'please', 'dear', 'god', 'let', 'it', 'be', 'a', 'white', 'ginger', 'who', 'snapped', 'from', 'being', 'abandoned', 'and', 'trapped', 'in', 'monkey', 'and', 'carrabian', 'nigger', 'hell']",hatespeech,unanimous,['African'],"['shooting', 'abandoned', 'hell']","['white', 'monkey', 'nigger']","['shooting', 'abandoned', 'hell']",False,['nigger'],['DEHUMANIZATION'],STATEMENT,DEHUMANIZATION
21603448_gab,you lying nigger the kk did no such thing to your fam the niggers that got lynched were those who raped robbed and attempted to kill whites they were lynched or otherwise for damn good reason gtfo with your pappy bullshit you need to go back to africa,you lying nigger the kk did no such thing to your fam the niggers that got lynched were those who raped robbed and attempted to kill whites they were lynched or otherwise for damn good reason gtfo with your pappy bullshit you need to go back to africa,"['you', 'lying', 'nigger', 'the', 'kk', 'did', 'no', 'such', 'thing', 'to', 'your', 'fam', 'the', 'niggers', 'that', 'got', 'lynched', 'were', 'those', 'who', 'raped', 'robbed', 'and', 'attempted', 'to', 'kill', 'whites', 'they', 'were', 'lynched', 'or', 'otherwise', 'for', 'damn', 'good', 'reason', 'gtfo', 'with', 'your', 'pappy', 'bullshit', 'you', 'need', 'to', 'go', 'back', 'to', 'africa']",hatespeech,unanimous,['African'],"['lying', 'damn']","['nigger', 'niggers', 'raped', 'robbed', 'kill', 'whites']","['lying', 'damn']",False,"['nigger', 'niggers']","['THREAT_VIOLENCE', 'EXCLUSION', 'SEXUAL_GENDERED']",STATEMENT,THREAT_VIOLENCE
25160519_gab,all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take advantage of white civilization while opening the gates for niggers we need standards that the bottom line and these nigger level iqs are dead weight,all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take advantage of white civilization while opening the gates for niggers we need standards that the bottom line and these nigger level iqs are dead weight,"['all', 'these', 'pro', 'white', 'christians', 'should', 'be', 'deported', 'to', 'africa', 'where', 'they', 'belong', 'who', 'would', 'come', 'out', 'against', 'that', 'these', 'subversive', 'pieces', 'of', 'shit', 'take', 'advantage', 'of', 'white', 'civilization', 'while', 'opening', 'the', 'gates', 'for', 'niggers', 'we', 'need', 'standards', 'that', 'the', 'bottom', 'line', 'and', 'these', 'nigger', 'level', 'iqs', 'are', 'dead', 'weight']",hatespeech,unanimous,['African'],"['shit', 'weight']","['white', 'shit', 'white', 'niggers', 'nigger']",['weight'],False,"['niggers', 'nigger']",['THREAT_VIOLENCE'],STATEMENT,THREAT_VIOLENCE
16829008_gab,i would love to shoot a nigger in the head while jabbing an ice pick into a kikes eyesocket,i would love to shoot a nigger in the head while jabbing an ice pick into a kikes eyesocket,"['i', 'would', 'love', 'to', 'shoot', 'a', 'nigger', 'in', 'the', 'head', 'while', 'jabbing', 'an', 'ice', 'pick', 'into', 'a', 'kikes', 'eyesocket']",hatespeech,unanimous,"['African', 'Jewish']",['shoot'],"['nigger', 'kikes']",['shoot'],False,"['nigger', 'kikes']",['THREAT_VIOLENCE'],STATEMENT,THREAT_VIOLENCE
16070530_gab,<user> is going to let pedos run freely on gab advocating for child fucking but if you think nigger and jew rapists that want you enslaved and your kids raped should be killed you are the bad guy,<user> is going to let pedos run freely on gab advocating for child fucking but if you think nigger and jew rapists that want you enslaved and your kids raped should be killed you are the bad guy,"['<user>', 'is', 'going', 'to', 'let', 'pedos', 'run', 'freely', 'on', 'gab', 'advocating', 'for', 'child', 'fucking', 'but', 'if', 'you', 'think', 'nigger', 'and', 'jew', 'rapists', 'that', 'want', 'you', 'enslaved', 'and', 'your', 'kids', 'raped', 'should', 'be', 'killed', 'you', 'are', 'the', 'bad', 'guy']",hatespeech,unanimous,"['African', 'Jewish']","['enslaved', 'bad']","['nigger', 'jew', 'rapists', 'raped', 'killed']","['enslaved', 'bad']",False,"['nigger', 'jew']","['THREAT_VIOLENCE', 'SEXUAL_GENDERED']",STATEMENT,THREAT_VIOLENCE
9489892_gab,when blacks chimp out or pimp walk slowly in front of your car they think they are speaking muh dik to power or social justice <number> muh slavery but really it just b c they are stupid,when blacks chimp out or pimp walk slowly in front of your car they think they are speaking muh dik to power or social justice <number> muh slavery but really it just b c they are stupid,"['when', 'blacks', 'chimp', 'out', 'or', 'pimp', 'walk', 'slowly', 'in', 'front', 'of', 'your', 'car', 'they', 'think', 'they', 'are', 'speaking', 'muh', 'dik', 'to', 'power', 'or', 'social', 'justice', '<number>', 'muh', 'slavery', 'but', 'really', 'it', 'just', 'b', 'c', 'they', 'are', 'stupid']",hatespeech,unanimous,['African'],['slavery'],"['blacks', 'power', 'stupid']",['slavery'],False,['blacks'],['INTELLECTUAL_INFERIORITY'],STATEMENT,INTELLECTUAL_INFERIORITY
13216290_gab,abandoned by his father makes shitty music narcissistic degenerate will probably end up bankrupt despite making millions sounds like a nigger to me,abandoned by his father makes shitty music narcissistic degenerate will probably end up bankrupt despite making millions sounds like a nigger to me,"['abandoned', 'by', 'his', 'father', 'makes', 'shitty', 'music', 'narcissistic', 'degenerate', 'will', 'probably', 'end', 'up', 'bankrupt', 'despite', 'making', 'millions', 'sounds', 'like', 'a', 'nigger', 'to', 'me']",hatespeech,unanimous,['African'],['abandoned'],"['father', 'nigger']",['abandoned'],False,['nigger'],['MORAL_DISGUST'],STATEMENT,MORAL_DISGUST
11766357_gab,it wasn t a punch but a correction white men control their emotions and do not call women whores unless the are prostitutes or cheating on you you may disagree with her name calling is nigger tier,it wasn t a punch but a correction white men control their emotions and do not call women whores unless the are prostitutes or cheating on you you may disagree with her name calling is nigger tier,"['it', 'wasn', 't', 'a', 'punch', 'but', 'a', 'correction', 'white', 'men', 'control', 'their', 'emotions', 'and', 'do', 'not', 'call', 'women', 'whores', 'unless', 'the', 'are', 'prostitutes', 'or', 'cheating', 'on', 'you', 'you', 'may', 'disagree', 'with', 'her', 'name', 'calling', 'is', 'nigger', 'tier']",hatespeech,unanimous,['African'],['punch'],"['white', 'nigger']",['punch'],False,['nigger'],"['CONSPIRACY', 'SEXUAL_GENDERED']",STATEMENT,CONSPIRACY
8394773_gab,ye olde niggra tax makes us pay more for home car insurance police ambulance medical schools school resource officers school po po <happy> security entertainment we have to commute farther to work the niggra tax is endless in a perfect world muslims would blow up blacks <happy>,ye olde niggra tax makes us pay more for home car insurance police ambulance medical schools school resource officers school po po <happy> security entertainment we have to commute farther to work the niggra tax is endless in a perfect world muslims would blow up blacks <happy>,"['ye', 'olde', 'niggra', 'tax', 'makes', 'us', 'pay', 'more', 'for', 'home', 'car', 'insurance', 'police', 'ambulance', 'medical', 'schools', 'school', 'resource', 'officers', 'school', 'po', 'po', '<happy>', 'security', 'entertainment', 'we', 'have', 'to', 'commute', 'farther', 'to', 'work', 'the', 'niggra', 'tax', 'is', 'endless', 'in', 'a', 'perfect', 'world', 'muslims', 'would', 'blow', 'up', 'blacks', '<happy>']",hatespeech,unanimous,"['African', 'Islam']",['endless'],"['blow', 'blacks']",['endless'],False,"['muslims', 'blacks']",['ECONOMIC_BURDEN'],STATEMENT,ECONOMIC_BURDEN
15380388_gab,more than <number> percent of children in the united states will be obese by age <number> if current trends in weight gain and poor eating habits continue it takes a retarded nigger to write something this fucked up,more than <number> percent of children in the united states will be obese by age <number> if current trends in weight gain and poor eating habits continue it takes a retarded nigger to write something this fucked up,"['more', 'than', '<number>', 'percent', 'of', 'children', 'in', 'the', 'united', 'states', 'will', 'be', 'obese', 'by', 'age', '<number>', 'if', 'current', 'trends', 'in', 'weight', 'gain', 'and', 'poor', 'eating', 'habits', 'continue', 'it', 'takes', 'a', 'retarded', 'nigger', 'to', 'write', 'something', 'this', 'fucked', 'up']",hatespeech,unanimous,['African'],['weight'],"['poor', 'retarded', 'nigger']",['weight'],False,['nigger'],['INTELLECTUAL_INFERIORITY'],STATEMENT,INTELLECTUAL_INFERIORITY
15358783_gab,black race sucks because i am surrounded by pot smoking unemployed welfare leeching niglet making prison worthy niggers and i hate them,black race sucks because i am surrounded by pot smoking unemployed welfare leeching niglet making prison worthy niggers and i hate them,"['black', 'race', 'sucks', 'because', 'i', 'am', 'surrounded', 'by', 'pot', 'smoking', 'unemployed', 'welfare', 'leeching', 'niglet', 'making', 'prison', 'worthy', 'niggers', 'and', 'i', 'hate', 'them']",hatespeech,unanimous,['African'],"['prison', 'hate']","['black', 'race', 'leeching', 'niggers']","['prison', 'hate']",False,"['niggers', 'black']",['ECONOMIC_BURDEN'],STATEMENT,ECONOMIC_BURDEN
15217159_gab,the royals deserve no respect after the rothschilds took over the british empire after the french revolution but now they are absolutely beyond redemption with letting one of them marry a half nigger half jew every royal should be exterminated for this kill everyone related to them by blood too,the royals deserve no respect after the rothschilds took over the british empire after the french revolution but now they are absolutely beyond redemption with letting one of them marry a half nigger half jew every royal should be exterminated for this kill everyone related to them by blood too,"['the', 'royals', 'deserve', 'no', 'respect', 'after', 'the', 'rothschilds', 'took', 'over', 'the', 'british', 'empire', 'after', 'the', 'french', 'revolution', 'but', 'now', 'they', 'are', 'absolutely', 'beyond', 'redemption', 'with', 'letting', 'one', 'of', 'them', 'marry', 'a', 'half', 'nigger', 'half', 'jew', 'every', 'royal', 'should', 'be', 'exterminated', 'for', 'this', 'kill', 'everyone', 'related', 'to', 'them', 'by', 'blood', 'too']",hatespeech,unanimous,"['African', 'Jewish']",['revolution'],"['nigger', 'jew', 'kill']",['revolution'],False,"['nigger', 'jew']",['THREAT_VIOLENCE'],STATEMENT,THREAT_VIOLENCE
25007143_gab,death to niggers death to monkey ape kike shit lickers,death to niggers death to monkey ape kike shit lickers,"['death', 'to', 'niggers', 'death', 'to', 'monkey', 'ape', 'kike', 'shit', 'lickers']",hatespeech,unanimous,"['African', 'Jewish']","['death', 'death', 'shit']","['niggers', 'monkey', 'kike', 'shit']","['death', 'death']",False,"['niggers', 'kike']","['DEHUMANIZATION', 'THREAT_VIOLENCE']",STATEMENT,DEHUMANIZATION
22430338_gab,i carry a legal knife in canada with me everywhere the minute i see a black man or a shit skin moslem approach i prepare for an attack i will not be a victim but i will create a dead attacker if need be,i carry a legal knife in canada with me everywhere the minute i see a black man or a shit skin moslem approach i prepare for an attack i will not be a victim but i will create a dead attacker if need be,"['i', 'carry', 'a', 'legal', 'knife', 'in', 'canada', 'with', 'me', 'everywhere', 'the', 'minute', 'i', 'see', 'a', 'black', 'man', 'or', 'a', 'shit', 'skin', 'moslem', 'approach', 'i', 'prepare', 'for', 'an', 'attack', 'i', 'will', 'not', 'be', 'a', 'victim', 'but', 'i', 'will', 'create', 'a', 'dead', 'attacker', 'if', 'need', 'be']",hatespeech,unanimous,"['African', 'Arab', 'Islam']","['shit', 'attack', 'victim']","['black', 'shit', 'victim']",['attack'],False,"['moslem', 'black']",['THREAT_VIOLENCE'],STATEMENT,THREAT_VIOLENCE
17137733_gab,roflmao you have nothing other than the lies your moronic nigger and kike bosses at fedcoat central told you to spout you dumbfuck forget there were dozens of war experts writing and researching years before you idiots destroyed the klan u fucks gonna destroy nigger lives matter too bye for good,roflmao you have nothing other than the lies your moronic nigger and kike bosses at fedcoat central told you to spout you dumbfuck forget there were dozens of war experts writing and researching years before you idiots destroyed the klan u fucks gonna destroy nigger lives matter too bye for good,"['roflmao', 'you', 'have', 'nothing', 'other', 'than', 'the', 'lies', 'your', 'moronic', 'nigger', 'and', 'kike', 'bosses', 'at', 'fedcoat', 'central', 'told', 'you', 'to', 'spout', 'you', 'dumbfuck', 'forget', 'there', 'were', 'dozens', 'of', 'war', 'experts', 'writing', 'and', 'researching', 'years', 'before', 'you', 'idiots', 'destroyed', 'the', 'klan', 'u', 'fucks', 'gonna', 'destroy', 'nigger', 'lives', 'matter', 'too', 'bye', 'for', 'good']",hatespeech,unanimous,"['African', 'Jewish']",['destroyed'],"['lies', 'moronic', 'nigger', 'kike', 'idiots', 'nigger']",['destroyed'],False,"['nigger', 'kike']","['CONSPIRACY', 'INTELLECTUAL_INFERIORITY']",STATEMENT,CONSPIRACY
25001491_gab,perhaps because she a screaming ugly overweight retarded black nigger whose favorite snack is a buffalo turd,perhaps because she a screaming ugly overweight retarded black nigger whose favorite snack is a buffalo turd,"['perhaps', 'because', 'she', 'a', 'screaming', 'ugly', 'overweight', 'retarded', 'black', 'nigger', 'whose', 'favorite', 'snack', 'is', 'a', 'buffalo', 'turd']",hatespeech,unanimous,['African'],['screaming'],"['retarded', 'black', 'nigger']",['screaming'],False,"['nigger', 'black']",['INTELLECTUAL_INFERIORITY'],STATEMENT,INTELLECTUAL_INFERIORITY
20156398_gab,of course there will always be white actors and actresses it just they are slated to always play villains and nigger whores western pop culture is devolving into niggerdom at such frightening pace it truly is painful to watch,of course there will always be white actors and actresses it just they are slated to always play villains and nigger whores western pop culture is devolving into niggerdom at such frightening pace it truly is painful to watch,"['of', 'course', 'there', 'will', 'always', 'be', 'white', 'actors', 'and', 'actresses', 'it', 'just', 'they', 'are', 'slated', 'to', 'always', 'play', 'villains', 'and', 'nigger', 'whores', 'western', 'pop', 'culture', 'is', 'devolving', 'into', 'niggerdom', 'at', 'such', 'frightening', 'pace', 'it', 'truly', 'is', 'painful', 'to', 'watch']",hatespeech,unanimous,"['African', 'Women']",['painful'],"['white', 'villains', 'nigger']",['painful'],False,"['nigger', 'whores']",['SEXUAL_GENDERED'],STATEMENT,SEXUAL_GENDERED
14335849_gab,what do you get when you cross a black and a mexican someone who to lazy to steal hear about the retarded gang member he d tag chain link fences with graffiti,what do you get when you cross a black and a mexican someone who to lazy to steal hear about the retarded gang member he d tag chain link fences with graffiti,"['what', 'do', 'you', 'get', 'when', 'you', 'cross', 'a', 'black', 'and', 'a', 'mexican', 'someone', 'who', 'to', 'lazy', 'to', 'steal', 'hear', 'about', 'the', 'retarded', 'gang', 'member', 'he', 'd', 'tag', 'chain', 'link', 'fences', 'with', 'graffiti']",hatespeech,unanimous,['African'],"['cross', 'steal', 'gang']","['cross', 'black', 'steal', 'retarded']",['gang'],False,['black'],"['INTELLECTUAL_INFERIORITY', 'CRIMINAL_DANGER', 'ECONOMIC_BURDEN']",STATEMENT,INTELLECTUAL_INFERIORITY
