post_id,text,annotator_labels,surface_cue,token_length
27323933_gab,if the arabs in gaza had leaders that cared they would have water u moron,"[2, 1, 1]",Strong (Profanity),15
18111286_gab,your sick fuck number one i do not and never stick shit up my ass that all you freaks lmfao your funny gay nazis whitesupreamist,"[2, 1, 1]",Strong (Profanity),25
1178522269867544577_twitter,<user> those people who are simply seeking a better life are responsible for making life of the people of host country hell most muslim illegal immigrants are responsible for law and order situation and terrorism <user> is doing a brilliant job,"[2, 1, 1]",Strong (Profanity),41
15319039_gab,i straight up refuse to believe sorry but when jews had <number> years to get thir facts straight and they are still making up stories about fucking roller coasters sorry but i just cannot believe the rest,"[1, 1, 0]",Strong (Profanity),37
21751669_gab,charles is angry that one of his nigger bros got caught raping again,"[0, 1, 1]",Strong (Profanity),13
13244426_gab,you really think no one would care about the foibles aka sexual harassment and possibly sexual assault and rape of women if it wasn t being done by a powerful jew well shit and that why i am a feminist,"[1, 1, 0]",Strong (Profanity),40
1163997302761119745_twitter,<user> lmao stop pretending you like jews us jews are too smart to fall for your dumb democratic bs you are not fooling anyone,"[1, 2, 1]",Strong (Profanity),24
8771341_gab,no it was never a legit quality signal it was always a retarded scam,"[1, 2, 1]",Strong (Profanity),14
1176100944238587904_twitter,<user> as if only eating pussy is what makes someone a lesbian,"[1, 1, 2]",Strong (Profanity),12
1183950575764815873_twitter,i fucking hate my aunt 🤣 she thought the <user> commercial said “ arby ’ we have the meat sweats ” 😭 😭 🤣 🤣,"[1, 1, 0]",Strong (Profanity),25
1178681614001414146_twitter,<user> ya lil bitch it too late for sum mf milk n cookies faggot 🤣 nigga was a real fool,"[1, 2, 1]",Strong (Profanity),20
1164645687633633287_twitter,<user> <user> lol no iits not i ’ ll come game chat and talk retard,"[1, 1, 2]",Strong (Profanity),15
1251138800207659009_twitter,blocked that nigga i do not need my morning ruined,"[1, 1, 2]",Strong (Profanity),10
1179058276593483776_twitter,stop being lazy and write some real jokes instead of just saying paging doctor faggot lol he said a slur therefore its funny,"[1, 2, 1]",Strong (Profanity),23
1179096976425701378_twitter,<user> <user> <user> he is a fucking nutter is <user>,"[2, 1, 1]",Strong (Profanity),10
1179038976671240194_twitter,<user> my bad comparing the great ian curtis to some porch monkey is sac religious damn i miss his songwriting,"[1, 0, 1]",Strong (Profanity),20
20206018_gab,new general named in border wars today his reputation is extreem vetting he promises no immigrant let in until one if my elite men have smelled their ass,"[2, 1, 1]",Strong (Profanity),28
1178756582135521280_twitter,every time i said i am fat asl ppl always looking at me like i am retard or something,"[2, 1, 1]",Strong (Profanity),19
23891901_gab,i just watched the interview if sean hannity had run the interview it would have been completely different instead of comey white washing himself hannity would have had comey in a fetal position crying sobbing i am sorry i am so sorry america i fucked up,"[2, 1, 1]",Strong (Profanity),46
17521017_gab,it been years since a white man was this nervous in hollywood seth meyers call me stupid but why is seth meyers talking about white people did i miss some huge shift in social narrative,"[0, 1, 1]",Strong (Profanity),35
1263171021072465922_twitter,<user> <user> calling on someone to make a tarantino deepfake where coldplay fuck the shit out of some nazis,"[2, 1, 1]",Strong (Profanity),19
17149699_gab,according to psychology today magazine women spend <number> hours of their lives crying whereas blokes spend exactly the same amount of time not knowing what the fuck they have done wrong,"[1, 2, 1]",Strong (Profanity),31
1175064716252631040_twitter,if my momma okay with wtf i do mind yo business bitch 😬,"[2, 1, 1]",Strong (Profanity),13
10474856_gab,boy those evil confederates sure were wrong about need to control hyper violent nigger apes huh,"[1, 1, 0]",Strong (Profanity),16
1246693051885449216_twitter,ppl in this town strive to act ghetto bitch if u don ’ t go back to ur <number> million house on top of haven,"[2, 1, 1]",Strong (Profanity),25
13126780_gab,lmao he wasted 2 5 0 k on travel for a cheap political stunt but funny you all bitch about 1 a to protect urself from the military govt and police you all fradidently say u love hypocrites,"[2, 1, 1]",Strong (Profanity),38
23191613_gab,does anyone actually give you shit about being gay in ireland i mean if you said you are conservative and gay and do not care who knows it i might understand the need to let that out but just being gay and liking sex that so <number> rofl,"[2, 1, 1]",Strong (Profanity),48
9869480_gab,it a bitch to find i accidently opened it how i did it was i opened a list and pressed the top of the first post i will get you the screenshot,"[1, 1, 2]",Strong (Profanity),32
1174798419908448256_twitter,<user> that isnt german you retard thats french,"[2, 1, 1]",Strong (Profanity),8
1178677200389840898_twitter,1 h de retard au work shessh,"[1, 1, 0]",Strong (Profanity),7
14407236_gab,muh legacy is shitty he stirred up a hurricane of hate against police white people anybody who opposed him he was more interested in his marxist muslim agenda then bringing our country together,"[1, 2, 1]",Strong (Profanity),33
3Z8UJEJOCZEG603II1EL4BE4QZH93Z_nf_2,ebt cards are nigger crypto,"[1, 1, 0]",Strong (Profanity),5
10222521_gab,tough son of a bitch too bad he is a traitor,"[1, 1, 2]",Strong (Profanity),11
1168646894261866496_twitter,zac galifianakis is a fucking trip lmao,"[1, 2, 1]",Strong (Profanity),7
1187118274531577857_twitter,all my relationships end cuz i ’ m not no weak ass bitch rmaoo,"[2, 1, 1]",Strong (Profanity),14
1082395663042822144_twitter,<user> <user> really soubry is an affront to all nazi ’ they ’ d be pissed to be linked to that traitorous media whore,"[1, 1, 2]",Strong (Profanity),24
11446235_gab,well we do not live in such a society and no your car should not be able to fucking stop working if it hears you use a racial slur that retarded,"[1, 2, 1]",Strong (Profanity),31
1184173813413511168_twitter,<user> <user> piss off nazi,"[1, 2, 1]",Strong (Profanity),5
1178833199297900545_twitter,<user> lmfao fucking hate you nigga,"[0, 1, 1]",Strong (Profanity),6
3694770_gab,<user> why the hell did this mentally challenged individual parents allow him to go to a sleepover with a retarded ghetto nigger maybe the we are all one race the human race crap had filled their heads maybe they are tired of caring for him not wise,"[1, 1, 2]",Strong (Profanity),47
1179064190822170624_twitter,<user> what dick faggot judging by how fat your forehead is i bet your tiny little dick has not emerged from beneath your gut in years bet your juevos rotted off too if you are out here begging for oral from someone who fucking hates you,"[1, 1, 0]",Strong (Profanity),46
11090594_gab,sadly that not a joke the jihadi loons actively seek to destroy them and the useful idiot stooges of their opportunistic communist promoters will very likely fall in line there is no idea too absurd for those who have abandoned both reason and humor,"[1, 0, 1]",Strong (Profanity),44
1179077233018847233_twitter,i know the white bitch is going to jail cuz she a woman but still lmaoo good riddance hoe,"[2, 1, 1]",Strong (Profanity),19
25192102_gab,britain military is also trying to recruit women by flooding social media with supposed selfies of gals looking cute in their uniforms and they are dumb enough to fall for it our men need to get back control of the females as a top priority or there will not be any left,"[1, 2, 1]",Strong (Profanity),52
1178857406236745729_twitter,bot still kick ya ass nigga,"[1, 2, 1]",Strong (Profanity),6
1113227735881592833_twitter,imagine pullin up ya bitch house to a nighas car outside n u look thru her window n she laid up wit dude 😳 couldn ’ t even imagine,"[1, 1, 2]",Strong (Profanity),29
7117498_gab,criticize boomers and some senile retard will reply in all caps,"[1, 1, 2]",Strong (Profanity),11
1178895480878751750_twitter,homegirls attention you must pay so listen close to what i say do not take this as no simple rhyme because this typa shit happens all the time what would you do if a broke nigga came by would you fuck em or would you deny,"[1, 2, 1]",Strong (Profanity),46
22742019_gab,people still cook i though bad pizza shitty beer and ghetto ball ruled guess i wuz rong,"[1, 1, 2]",Strong (Profanity),17
25280581_gab,the second question is retarded on its face itd be like me asking you why you do not support homosexuals are you afraid of them i am sorry but you are still inherently asking the wrong questions good day,"[0, 1, 1]",Strong (Profanity),39
20872466_gab,this whole album is <number> <number> very underrated not joking he even says nigger hard r in one of the songs hee hee,"[1, 1, 0]",Strong (Profanity),23
1178885194830364673_twitter,<user> <user> yes even radical muzzies planning to take over america over <number> are running for office and <number> just in congress i will not support the muslim brotherhood i am not stupid any more than i would vote for socialism screw the dems,"[0, 1, 1]",Strong (Profanity),44
1179060292644261888_twitter,i was born ghetto you were born a bitch nigga,"[2, 1, 1]",Strong (Profanity),10
