post_id,text,surface_cue,token_length
1178666920658247681_twitter,and it important to tell them i love me a good queer story with a happy ending but i also love me a realistic story portraying childhood trauma and internal homophobia god,None,32
16335007_gab,i am a white nationalist who else is a white nationalist,None,11
1146263848380489729_twitter,<user> omg we ’ re so gay,None,7
1178858224658911232_twitter,<user> shes a bum n a world renown racist shes on par with farankhan n rev jeremiah wright michelle had non stop criticism for cops white christian repubs jews israel our military i support israel <percent> they r our allies in the middle east m obama soiled white house w her rhetoric,None,52
24783666_gab,australia is not a nation of immigrants but settlers and pioneers south australia is the only part that was settled by euro immigration and its one of the tinniest states,None,30
1179018252304945153_twitter,<user> <user> yes this is actually the old traditional alba rose it very large <number> <number> feet in height with all the rain we had in june it was full of white blooms in the late spring amazing it really maintenance free too but no i am too lazy to make jelly,None,52
1171472139720937475_twitter,<user> club diego tho stripper poles stripper hoes,None,8
1179076551863717889_twitter,<user> we sentence you to the harshest punishment we have ever given a white person three months of community service restored to your position on the force with backpay and bonus and a written apology from the victim family for putting you through this ordeal,None,45
1612877_gab,funny my gay lover and i had no idea we were homophobes until we came out as trump voters,None,19
1080613322905567232_twitter,<user> i rly enjoying this gay moment of urs,None,9
18897682_gab,because the jews in israel are the only democracy in the mideast,None,12
1255982260815368193_twitter,<user> true religion is islam your excellency and i am proud be a muslim why because i respect other religions,None,20
1230604024711438355_twitter,i love my women but she thinks i ’ m playing,None,11
1184136970651332608_twitter,<user> you know the girls came out and literally said they didn ’ t get raped cole tried to get clout from the whole situation,None,25
1123340794218393600_twitter,recoupping out however is an inmate boulder for men and scum will distinctively immigrate it,None,15
1179067724384931846_twitter,<user> <user> when i saw video of her family members walking in the courtroom they all looked like white supremacist klansmen especially the males they did not look like they were used to wearing suits they d be more comfortable in white robes,None,43
1178763669397790722_twitter,<user> let us some queer person goes on publicly to say that all straight people should be killed would it be ok because reverse homophobia does not exist 🙄,None,29
1105577547675459586_twitter,i listen to the same songs everyday i love ariana and blackpink 😩 can they and selena release new albums please,None,21
1236366818044006400_twitter,<user> sur <number> <number> regrette women cheat with their ❤ ️ 🤷 🏽 ‍ ♀ ️,None,16
1179094437047091200_twitter,never forget kim petras defended the dude that drugged and raped kesha,None,12
1261352638274125824_twitter,<user> we are the satanic sluts your parents warned you about,None,11
1172057454810750977_twitter,<user> <user> living on the blood and sweat of illegal and exploited immigrants is not something to be proud of,None,20
1187186514855378945_twitter,men who refer to women as females steal,None,8
1178855380572442624_twitter,<user> tbh i was really disappointed when my husband friend dykey sister did not show up and make sweet love to me on my granite kitchen island 😔,None,28
4450471_gab,i think spicer is going to need to start using videos and charts and graphs to really teach the media the truth about issues like violence in chicago violent immigrants etc mere words are not enough the narrative in their heads is too strong,None,44
1179088733636685830_twitter,you are banned remember white boy,None,6
1922657_gab,over <number> undocumented immigrants living in california were granted driver licenses in <number> due to california state law ab60 the california department of motor vehicles dmv expects that at least <number> million illegal migrants will be issued a driver license under the law by late <number>,None,46
1178996742773071873_twitter,shivaji companion during his fabled escape from the mughal internment in agra was madari mehtar — a muslim shivaji even extended courtesy to sworn enemies like afzal khan 21 st century rss rss roadmaps,None,34
1179050016616468481_twitter,<user> please do not kill yourself 😔,None,7
1091287948237176833_twitter,maria bartiromo at record speed and extremists have to host refugees as this administration over <number> legislation approvals,None,18
1105942670239776773_twitter,if a hard border goes up there will be violence they just tryna make it seem like we brought it upon ourselves,None,22
1179044917911400448_twitter,<user> what if a muslim refugee lies says that he was persecuted because he had converted to any of these religions but reverts back to islam after getting indian citizenship taklu is fooling bengalis fact is that they dumped citizenship amendment bill after opposition in ne states,None,47
1179049576562606080_twitter,<user> <user> justin trudeau is a jihadi apologist,None,8
1178993644629561345_twitter,stop telling women what to wear fam it dead,None,9
1122401198831652865_twitter,namjoon black hair ah bbm as top social bts <user>,None,10
1095130882778685440_twitter,<user> progressives who want gun safety laws and who want immigrants,None,11
1178758896544079877_twitter,well if you ever wanted to sum up a greasy hook nose performance that it <number> deep block behind a team who have lingard and pereira in the front <number> lmao cant wait for him to get the sack,None,39
1178762592946442245_twitter,better yet call becky with the hoe pxy,None,8
1178868025912463361_twitter,<user> i cometely agree the playbook has been around since the 1 8 6 0 white men wanting to take back the country it frighteningly similar to post reconstruction violence and terror,None,32
25117494_gab,welcome one and all hope everyone is having a great weekend big job in the garden tomorrow getting it spick and span after the winter washout should be a nice day by all accounts got any plans brit fam,None,39
1179043287916634112_twitter,<user> the indisputable fact is that the majority of the illegal immigrants in india are muslim there should be a policy to tackle the issue of illegal immigration irrespective of their religion what are your suggestions,None,36
1179092292436660224_twitter,<user> wait until it starts in earnest we have had muslim grooming gangs operating in the uk for years literally thousands of young girls have been raped and abused while the police and the authorities were paralyzed by political correctness irredeemably shameful,None,42
1178889620639105024_twitter,<user> slack jawed knuckle dragging mouth breathing toothless inbred redneck backwoods uneducated hillbilly hicks that the republican party,None,18
1179071888842035200_twitter,i have been at the rmv for almost an hour but i did just hear some aggressive white boy fail his permit test,None,23
1179082441727893504_twitter,not to be dramatic but i think this contributed to me being put off reading bc the majority of these spaces feel the exact same as straight women lauding over wanting gay men as best friends while shunning lesbians,None,39
1179048156224540677_twitter,just imagine how much more progressive and liberal muslim countries will be if majority were shia,None,16
1178305709542236169_twitter,<user> <user> the people who used to believe that in <number> were all white people high on lsd,None,18
1081230732834603009_twitter,mds bui niggas gat me diving for conch in class,None,10
1178918143718297601_twitter,<user> we have never seen any fabricates of whites being harassed as breaking news in our countries in my neighborhood one white lady pressed some serious charges against a black boy for harassment after much investigation it was found that she was just lying it wasn t a breakingnews,None,49
1179058382004576258_twitter,<user> chinaman satanist lee hsien loong criminals audible talks in <number> wellington circle singapore are always negative that they screenshot and put his profile on facebook <date> lee hsien loong disloyal to his criminals and lawyers,None,36
22595106_gab,only when i am in the ghetto,None,7
1178874997760122880_twitter,<user> the ship queer sounds like the exact gay pirate vibe i have been craving my whole life,None,18
1179103240555831303_twitter,<user> true but gay people are still beaten and killed at a high rate lgbtq children are the largest group of homeless youth and gay people where some of the first killed during the holocaust being gay was also illegal but n this country until pretty recently,None,47
20477640_gab,i know and work with many indians and sikhs almost all are hard working polite honourable people who don t like blacks jews queers or liberals,None,26
12760010_gab,there are plenty not all are as public but many ppl of all races gay ppl etc are becoming red pilled these days,None,23
24198611_gab,lol that resourceful <laugh> not condoning their violence obviously but it almost charmingly ghetto with its limited basic materials like what a super edgy teen would make,None,27
1178666966514651137_twitter,<user> <user> <user> yup it true a lot of jews in my ancestry but people still consider them white and the real rulers of the world lol,None,27
1178730697336508419_twitter,<user> <user> but remainers love fake news meanwhile in the real world everyone canyon your nazis in action,None,18
17637792_gab,but speaking of sexual harassment and abuse what about at the presidential level responding to a tweet summarizing oprah speech famous bill clinton sexual abuse victim juanita broaddrick said the following,None,31
1179049273872154625_twitter,<user> they are given refugee because muslim majority countries are killing them be it hindu or sikh or christian and muslims are just illegally immigrate nothing else,None,27
1179058458160705537_twitter,<user> by impregnated you mean raped omg,None,7
1179088310448394241_twitter,<user> fact <number> the annual report from the department of justice shows that when whites commit violence they do it to blacks <number> of the time blacks on the other hand choose white victims more than half the time,None,39
1144051902474272769_twitter,white car black tint think he was tryna hide her told her she should duck faster lauriana 🤣 🤣,None,19
1170440965888335874_twitter,oomf a <number> yearl old closet gay and obsessed with me someone help,None,13
1179064353376608257_twitter,mr trudeau you pledged <money> million to the rohingya refugee crisis while we have a refugee crisis of our own flooding into quebec that you will not address you pledged <money> million to caribbean reconstruction while our own infrastructure in cities is falling apart why vote 4 u,None,48
1179103115309662209_twitter,no i do not want to be your homie no we not friends no i do not wanna blow tree with you kill yourself,None,24
1187319264614801408_twitter,if the bbi will end the circle of violence and tension after every five years then bring it on,None,19
1143649911969320960_twitter,well i locked my keys in my car and im now chugging grape juice in the publix parking lot this is it this is how crackheads are born,None,28
17548985_gab,<user> everytime i see your avatar i think honky tonk,None,10
1179086941037453314_twitter,i wanna start twitter beef with a white christian mom,None,10
1179057273999638528_twitter,<user> <user> <user> you see the moral values that are clearly stated such as not committing fornication are unanimously agreed just like stealing taxes etc now if you are so confident let me ask you this islam is against fornication homosexuality occurs as a form of fornication therefore,None,48
9243080_gab,us president donald trump has welcomed a supreme court ruling allowing his travel ban to be partly reinstated as a victory for our national security america highest court also granted a white house request allowing part of its refugee ban to go into effect,None,44
1178804616445775872_twitter,<user> <user> the us has several forms of bigotry racism nativism myzoginy islamophobia anti semitism white men who are not on a receiving end of any learned to use the language of opposing one as a cover or justification for indulging in one or more of the rest,None,48
1178422013238620162_twitter,play one game of overwatch after a month away very first game instantly has two players calling people faggots and to kill yourself oh boy i gotta just not play this game at all anymore,None,35
1098403782088634368_twitter,zion goes down after slipping and tearing out of his shoes he limps off on his own power jack white in to the game,None,24
1179095978349154304_twitter,egyptians in <number> bc be like omg what am i gonna wear today and then open their closet full of white linen lmfaoo 🤣 🤣 🤣,None,26
25361518_gab,what part of they want to kill us regardless is so difficult to grasp that all i have been saying yet you lot are so erroneously laser focused on the jews that you are likely to let a moslem take you by the hand,None,44
1178112963800162304_twitter,i just want some titties man that it if i could wake up to some titties i d be fine,None,20
1178876748508880896_twitter,season <number> of 90 day fiance i have feelings about this seemingly cute couple danny white pa and amy biracial south africa,None,22
1105851196642856960_twitter,domestic violence is domestic violence regardless of the sex involved johnny depp,None,12
20990971_gab,twitter is a ghetto that wants to shut down divergent thought any time or effort placed on that platform is an utter waste do not use twitter as a barometer of success it rigged against us,None,36
1179019791526326272_twitter,<user> pakistan is created for muslims so no muslim refugee in india anymore,None,13
1117745773054185473_twitter,<user> looked through this guys account very islamaphobic we don ’ t need another one of those,None,17
1111414269822693376_twitter,<user> that ’ good to know i see homosexuality was made legal in india as far back as <date> 👍 🏾,None,21
1179082359209152512_twitter,<user> they convicted her because to let a white person shoot a black person in their own apartment and not convict would have led to riots,None,26
1179088840486801408_twitter,<user> <user> white mode is elite,None,6
1179104812924899329_twitter,people who say all lives matter are the same kind of people who comment about there not being a straight pride 🔔 🔚,None,23
1179013223883915266_twitter,<user> <user> <user> no incitement but doxing teenage kids continuing to incite violence via antifa and calling for children to be raped is all done by liberals and democrats,None,29
1178446440638623744_twitter,video games cause violence me studying so i can be a good student in persona <number> hm,None,17
1170804784003239937_twitter,□ heterosexual □ homosexual ■ minsung shipper,None,7
1178685949661855747_twitter,<user> this whole thread is chock full of white folks i am <number> i have been eating kale my whole life my grandma grew kale and collards in her garden of course we never ate it raw bc that wasn t a thing you all do not like it bc you do not really know it,None,56
14656329_gab,bbc news this man is wanted by the police for ripping the hijab off a young moslem woman he also screamed racist abuse at her before running off laughing,None,29
1179092694485913601_twitter,<user> sorry <user> but citizens of nyc can bail out their own citizen workers federal tax money is needed to take care of illegal immigrants in detention centers,None,28
1179088963962884096_twitter,<user> donald probably tought he got raped or something,None,9
1179029351398031360_twitter,<user> happy belated bday muzzy excited to see where <number> takes you 🕺 🏼 👊 🏻,None,16
1179068820939530241_twitter,<user> progressives socialists democrats know their only way to stay in power is through illegal aliens americans know they do not care about us,None,24
1179024796966936576_twitter,somehow i lost track of how many men i have slept with but i can still name all the women,None,20
20363000_gab,there is no epidemic of gun violence in america quite the opposite in fact but last week shooting at a high school in florida was a grim and jarring reminder of deep cultural problems lurking just beneath the veneer of our materially comfortable society,None,44
1178934591584751616_twitter,<user> not our problem we are not the only nation in the entire world who can save those illegal aliens p.s. refugee has a very specific legal meaning and you are purposely misusing it in order to euphemize illegal immigration,None,40
1179071808127094786_twitter,<user> pakistan bangladesh are muslim majority nations both persecute their minorities brutally so it is important that india give shelter to hindus sikhs jains buddhists christians from these nations wth is muslim refugees pak bd are killing muslims too,None,39
1179088269813923841_twitter,<user> yeah but would you kill all the interns,None,9
1179099489552027649_twitter,<user> <user> <user> we need the media to quit making everything about race according to them every white person is a white supremacist and yes i blame the media,None,29
1179072069847248896_twitter,dislike food eggplant capsicum paprika favourite colour yellow charm point mole at the mouth strong point brave weak point too serious favourite fashion black and white with only the shoes in colours cap hat,None,34
21205846_gab,although it sounds like too much voter id should be looked into with a different reasoning the illegal immigrants have no right to vote for that matter they also have no rights that citizens have some way of stopping them from voting till they are deported or nationalized,None,48
1178739630302216193_twitter,<user> i adore the plump all white one reminds me of one of my boys <happy> i tried one of those kobo sp dog treat dispensers and my lot just ate through it to get at the treats lol love how happy they all look x,None,46
1179050003815419905_twitter,<user> you are cute 😘 💋,None,6
1178829716502876160_twitter,<user> do it i wanna get the actual words white trash in metallica font somewhere on me lol,None,18
1124086293988814849_twitter,bring back the p**n <censored> and kick the nazis off,None,10
1178705120470548480_twitter,justin looking mighty fine in his white polo shirt,None,9
1179096113086906368_twitter,<user> why is it the left can bring up charges on just about anyone they wish and the right sits back and watches can the senate not bring charges of judiciary misconduct foreign interference slander or perhaps harassment against them maybe the abuse of power for the past <number> years,None,50
1179100564971409408_twitter,<user> my illegal alien maid confidently told me last year how proud she was to have voted for hillary and i voted for my husband too she told me,None,29
5377204_gab,blacks invented reading,None,3
1179063823208026113_twitter,<user> <user> <user> <user> illegal muslims are not india responsibility why dont muslims countries give them refugee why they call themselves muslim countries if they dont want to give refuge to muslims,None,32
1179015232280154112_twitter,<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> ur r shudh <number> percent photoshop fake jihadi,None,33
1167756665845948416_twitter,<user> you mean illegal immigrants,None,5
1179057691483934725_twitter,<user> <user> <user> leave your brother alone time will kill all that stupidity anto na obinna,None,16
6363140_gab,i disagree those you list are normally covered by the term sub continent asians are thai malay burmese indonesian etc,None,20
1178757760319668226_twitter,antifa domestic terrorists elderly people can be nazis kk being old does not exempt you from criticism terrorists murder people antifa has not killed anyone kk neo nazis white supremacists have killed thousands,None,33
1179102488739352576_twitter,a birthday action game character that is not a queer bee,None,11
1179273079563997184_twitter,do you see that nice black and orange fish with a nice grin over there,None,15
1160427841013440512_twitter,happy eid al adha to out muslim brothers and sisters ❤ ️,None,12
1080040209016709121_twitter,aa crazy rich asians and never been kissed for today,None,10
1179044844129394698_twitter,<user> i got raped by an alien did not i,None,10
3863820_gab,<user> i love warsaw i am american but i have got a lot of good friends there the nightlife is great and the cost of living is nice too not too many refugees at least not yet,None,37
1178840408916467714_twitter,<user> ideal image girl it was full of white oriole so i wasn t surprised but i figured since they claimed to have the laser i would be good they were so dramatic i about it too like i will never go there again,None,44
1179069833490698240_twitter,however now that gay men are being called transphobic you clutch your pearls first they came for the lesbians and i did not speak out because i wasn t a lesbian then they came for all women who dared to question and i did not speak out,None,47
1169318641415917568_twitter,<user> she was fine until she said ghetto she tried it she rly did,None,14
21366034_gab,cool i see white people having babies with asians and blacks at this moment,None,14
5508622_gab,ignoring the truth jc shannon <user> <date> <time> msm ignores sweden immigrant riots because it does not fit their narrative trump right again newsbusters org blogs nb nicho …,None,29
1179001510803464194_twitter,not me getting foundation on this white christian dior collar 🤒 🤒,None,12
1178813018500718592_twitter,<user> coming from your position of power just mentioning it constitutes pressure you d understand that if you understood sexual harassment which you do not as your past history demonstrates you are by far the most ignorant person ever to serve in the white house case closed,None,47
15392809_gab,for all those who want to discuss or debate with me you shall uphold the ethics of a conversation or find yourself discredited for internet violence and your argument is automatically nullified muted yes i am the smartest being in the universe deal with it,None,45
1179089924441591808_twitter,i have bought three dresses on this trip they are all white and black i guess the lesson to be learned is that unconscious patriotism practicality,None,26
1179095179585654785_twitter,<user> he blew out smoke as he looked at the other raising an eyebrow and smirking a little classic white trash over here,None,23
1178921648541581312_twitter,if anyone tries to tell you that gay lesbian people are pushing the genital preference conversation remind them that literally no homosexual on the planet would ever come up with the term genital preferences,None,34
27567696_gab,this article pretends it the right doing all the violence and intimidation at street events,None,15
26532368_gab,unknown artist describing jihad islam,None,5
1170052623648604161_twitter,england women scoring in the last minute of that netball competition to win gold is the greatest sporting moment in history,None,21
13979288_gab,what inspire me is teaching african refugees how to program javascript what inspires me is finding out how to use maglev trains to get resources to the moon these are the challenges that tomorrow going to face,None,37
1178840299323449350_twitter,the white house is giving states the power to reject refugees from being resettled in their communities and this announcement all but guarantees that politicians will try to end refugee resettlement in our state completely,None,35
1170735670240907270_twitter,im sweet and don ’ t have the nature or guts to be rude bitchy prestige and sadly people take advantage of it,None,23
1178996720962871297_twitter,<user> <user> <number> children have recently been raped in montgomery county maryland by illegal aliens some of those rapists had been previously deported but managed to reenter our country shame ice could not catch those criminals before innocent children had their lives changed forever,None,44
1659621_gab,<user> i think in <number> agreeing or not with gay marriage personally a lot of people concur with your sentiments for some it interferes with the practice of their religion what would you say to the gay marriage bake me a wedding cake scenario,None,44
1179097679596572672_twitter,next time you hear someone bitching about jury duty remind them of today and the jury of <number> black people <number> hispanic asian and <number> wypipo that found this white woman ex cop guilty of killing a young black man we need us and our allies on juries,None,48
1178862613788278785_twitter,if in <number> the man i believe to be a criminal sexist racist xenophobic homophobic white supremacist was re elected i d move unless i do not really have a problem with someone being those things or i never believed he was those things to begin with trump 2020 kag maga,None,51
15555036_gab,yeh true but they have been moslem for a long time without bothering jews the jews living in palestine before <number> had good relations to them and even afterwards they thought that would continue to be the case under the genocide started <user>,None,43
1178822118181609472_twitter,<user> <user> that that white supremest hand code i hope you reported this it a terrorist threat,None,17
1165391497795010560_twitter,here are some new one groovin on down to gitmo krusin in kenya if your gay and you know it clap your hands treason is the reason,None,27
1179091239125311488_twitter,<user> its because stan twit hates on every white person 💀 💀 💀 like bro its not that serious,None,19
1178428495824859136_twitter,why come wizards have so many towers,None,7
1179004832763518976_twitter,<user> <user> coming from someone who finds it necessary to kill all the cows in this country in the name of global warming,None,23
1076676539444547584_twitter,bisexuals lesbians 🤝 <number> being our year,None,7
1179068221074358277_twitter,<user> it okay to be white,None,6
1142922938422898688_twitter,real niggahs do not get in to that,None,8
5970850_gab,well i think nigeria would be alright if it wasn t for the moslem group boko haram oil revenues help but then always wants it for themselves i spent <number> weeks in abuja and the city functioned well with people out and about working and relatively productive,None,47
9085488_gab,never happen european men have been emasculated by their domineering women such as the swedes may and merkel and they have no weapons,None,23
1122734457230774272_twitter,fellas be careful she texting other niggas,None,7
1179003588057559041_twitter,<user> jihad is mainly responsible and jihadi 🐖 like u r greatly responsible stop jihad and world will be much much peaceful 😠,None,23
1087955800168038401_twitter,in hopes of finding good jewelries inside the treasure box yg lets go of the diamonds and picked up the golds,None,21
8968547_gab,the diversity of violence is not so diverse,None,8
1171872347621486592_twitter,black women complain so much at restaurants 🤣,None,8
1179060246351769600_twitter,<user> <user> <user> yes u r ryt arabs are very decent they dont let u feel that we r from different religion,None,22
1178497779049607169_twitter,<user> <user> one where they president is a mob boss and running a crime syndicate out of the white house,None,20
1104580628744409089_twitter,edina vs eden prairie is the grape nuts of high school sports,None,12
1206177975265320965_twitter,<user> <user> yea those people were immigrants too all one big melting pot of immigration lovely,None,16
1205736059214000128_twitter,<user> why donot those countries accept the muslims from all over the world if they are so empathetic,None,18
1178730504490819584_twitter,<user> <user> you do not support the queer community and u are a homophobe unless you listen to it let that sink in,None,23
1178758354547740672_twitter,<user> <user> <user> <user> is there still a wall with snipers surrounding the white house you know the one built by immigrants with an immigrant residing in it,None,28
7017287_gab,did <user> sponsor the anti trump violence today in berkeley berkeley berkeleyriots taxmarch maga,None,14
1089280889857568768_twitter,free everybody out da jam even da opps so we can max them niggas tf out,None,16
1124394409921994753_twitter,new the justice department is reportedly considering making it easier to deport immigrants who use public benefits reuters,None,18
1178598739893727232_twitter,it very telling that his mentions are full of white and mostly middle aged people telling him how right he is and how much they can relate the lack of self awareness will always astound me,None,36
1179101445481750529_twitter,i wanna get real physically intimate with friends ya know i wanna smooch and stuff with the ppl i care about thats how friendships work right,None,26
1178391890175123456_twitter,<user> <user> but that not an exclusive ace issue that a rape issue that like claiming straight white able bodied rich men are systematically oppressed because they can be raped anybody can be raped rapists do not care who you are they just want to rape,None,46
1165560301753790464_twitter,hey tie your shoes i do not want you falling for anyone else fine liereposposa atvistamall may mallshow si lie <user>,None,21
1167107425322688513_twitter,i can ’ t believe i have class on fridays for the first semester ever so ghetto,None,17
1179033032243777543_twitter,i am research our favorite horror characters and they are all white men which might ve indicative of white male violence or lack of films particularly horror sci fi about black folks and by black folks,None,36
1178764561941434370_twitter,<user> <user> <user> <user> she got bullied away because of she is a white female rapper and had rough year after,None,21
1179096536661315592_twitter,<user> if you were the police officer getting off duty and thinking anyone black or white was in your apartment and they all look identical like a hotel and for that moment you drew your gun for self defense would you want to be charged with murder or manslaughter,None,49
1178732019632758785_twitter,today is the jewish new year if the democrats were in the white house it would be the end of days for the jews,None,24
1220505344436129792_twitter,<user> <user> some might say it somewhat flippant to compare such an incident to the extermination of <number> million jews,None,20
1178861791939571712_twitter,maugs love letting them white walkers in so easily,None,9
1177919602841571328_twitter,swear these niggas some females now,None,6
1174019973871632384_twitter,related instagram tags for jewelry fashionable designer trendy hairstyle fashion gram fashion blog menswear men style trend,None,17
1204572282443780096_twitter,<user> <user> rue <number> is the ghetto,None,7
12869125_gab,what more likely an old white man shoots up a music festival attended by mainly white people because he does not like the music or submissive man radicalized by his domineering moslem wife,None,33
1242254807164948481_twitter,<user> <user> <number> less boys being raped,None,7
1178945010403643392_twitter,<user> <user> <user> no wonder why muslim countries are not so well developed all they got to do is cry get yourself known whatever you are eating earning drinking leisure is triple the way we are enjoying so ya we do not give f about you,None,46
1179103624871456768_twitter,berry really need to fix the wifi because this mess is so ghetto,None,13
13068135_gab,i wish there were more leftists here to argue with conservatives are fun for a while but after a time all you hear is a cacophony of muh based blacks meskins asians queers they are all merican,None,37
1179045683841703938_twitter,<user> they all look amazing,None,5
1179104230126153728_twitter,<user> <user> yes i am not surprised i do not know if you remember but the hatred for the sri lankan refugee tamizh hindus was phenomenal in the 1 9 8 0,None,32
1179057277032026113_twitter,no dont kill yourself you are so spooky ahah,None,9
1178790611236900865_twitter,<user> <user> <user> you keep living in that little bubble and keep pretending that reality is what you say it is the only immigrants i know that are totalitarians or fascist are hooligans neo nazis white supremacy believers and all those ideologies involved white supremacy,None,45
1185758702483234817_twitter,aural werewolves of hapiness a traditional black metal band,None,9
1179022272566321157_twitter,and it also still gets downplayed that said lying came about because of a sexual harassment lawsuit against clinton,None,19
1179090343251329024_twitter,psa lgbt does not mean gay and lesbian the other two letters stand for things too 🤦 🏻 ‍ ♀️,None,20
1265817329100824581_twitter,it ain t about black or white cause we are all humans,None,12
1178994148348747778_twitter,why did she have to kill all the marauders why,None,10
1090076809402695681_twitter,caelynn just became a hero to so many women and colton needs to become a role model to men the bachelor,None,21
1179070848117944320_twitter,in <number> kenyans only wore skins covering their private parts young people walked naked but there were no cases of sexual harassment what happening to africa gender forum,None,28
1178973832494739456_twitter,<user> gobble propaganda where were you when hindu women were raped your friends,None,13
1178778046507016192_twitter,<user> <user> i am not accusing anyone of anything but when some things are said you know it embedded in racism ok so she is accusing people of racism btw as all americans consider themselves immigrants this phrase is not racist and it been used at me a white guy,None,50
1179074420075220992_twitter,<user> hekdhskhssk they all look like they are in <number> different music videos it horrifying,None,15
