text,label
byron york : heidi cruz : 'ted is an immigrant' via,0
questions & answers on the holohoax by harold a. covington : excellent video.must watch for those who still be...,0
sad to see them go but thankful for this great group of summer interns! keep fighting for faith family freedom.,0
as far as we know suspect is local and fayetteville is not close to las vegas. what people ar,0
wait i don't understand why is it all white people?,0
taking a page out of doc's book with the circuit. saves time builds muscle and increases overall fitness. liftwaffe,0
cry me a river lacy. white people talking about white identity basically talking about genocide... unless you know what that word means.,0
carson doubles down on no muslims on the white house some commentary here via,0
"aside from being an habitual drunkard, he's a habitual illegal! shouldn't have a licence to begin with! tattohisass & send him back! maga",1
"so you want a law that protects the lazy, stupid and incompetent just because of their place of birth? self-interest i guess.",1
isis your days are numbered! the us army is going to kill every single one of you khawarij qutbi radical ji,1
"usa,uk,fr,spn,itl,rus, spray pig blood over isis areas,bullets,mosques towns,water wells,mosquito spray truck 4 disbursement! fear",1
that is quite possibly the dumbest. like saying wanting fair trials for rapists is supporting rape.,0
charlottesville = just a bunch of hipster millenials play fighting result of too much game of thrones watching,0
good people! :),0
beware the average white man via,1
great answer from trump gopdebate,0
jewish refugee contractor hias goes to the hill (to lobby for more refugees and more $ $ $) via,0
good interview on renegade - thought you addressed questions from host and callers well. excited for march 5 event!,0
that is what diversity is. erasing and replacing white people.,1
whites are not bothering anybody. people like you feel empowered by the media to demonize them. white p,1
there are already enough mid easterners in western europe to effectively end the white race in under 30 years time,1
weak white people have nearly destroyed us. no other race is so self-hating.,1
now it has that commercial where the travel show guy recommends race-mixing to eliminate white people.,1
livestreaming 12pm est todaymena briefingexperts speak on is & gjm,0
"i don't care if it's seen as ""instigation - if some tattooed antifa idiot is hi""",0
i've spoken enough about this with drdo and bel scientists so if you know more than them tell me,0
good time to issue a support white police leaflet sticker and posters!,1
"makeacelebrityirish samuel l jacknazi samjacknazi "": happy stpatricksday; ireland aryan racetogether # 8""",1
"""american means nothing. whites need to start looking out for themselves. u want america to end up like south africa?""",1
build the dreams of american people first!,0
careful don't feed the tribesman,1
question? do u like non-white people?,0
white people are waking up and throwing away years of white guilt that as been pushed relentlessly by the left. antiwhite ukip pegida,1
because shooting 500 people would definitely not be an indicator of that.,0
does planned parenthood actually prevent access to birth control?,0
barronelle stutzman heads to the washington supreme court via,0
the dems are trying to re-write history & claim the high ground. true american ideals are equal and color blind.,1
we must secure control of media and universities if white people are to exist 14words,0
"got a new piece on pc culture and the 2016 primary : ""the people who call me racist are fascists but the people i call racist are racists.""",0
the american government need to try these law breakers and send them to jail no moe sanctuary cities!,1
"roosh is non-white a sleazy disgusting self-serving iranian who is trying to be accepted as ""white.""",1
jammu & kashmir chief minister mufti mohammed sayeed dies at a delhi hospital.,0
white nats have to dialectic their way back,1
removal of encroachments was in knowledge of delhi urban shelter improvement board an entity under delhi govt.,0
low class fat white chicks and black men perfect together! | chateau heartiste,1
there's a new dating site for white people to meet each other in peace via,0
california is an anti-white state. theblaze,1
"""this issue then is about much more than law : it is about the task facing all people of european ancestry. our task from america to germany to new zealand is to be and re-create who we are. - winston taney""",1
"""breadth of the benefits the family was receiving was stunning : boston jihadis 'family raked in $ 100000 in welfare""",1
i don't believe it. immigrants add t our economy.,0
"attention whoring alt-right / lite ""personalities vying for influence / popularity / donations""",0
why is it only for white?,0
i don't hate anyone. you conflate criticism of islam with hate.,0
you should know better. the white nationalist is richard spencer not robert spencer,0
same here bro! i'm called a white racist everyday because i support trump even though i'm black! conservatives are now called nazi's!,0
you've been rekt opkkk,0
but you're living in an european (western) civilization?,0
the last white,0
"lol we are doomed. saying your proud to be white is ""racist lolololol what if you say proud to be black? or asian? or gay? just lol""",1
how i talk to my kids about white supremacists via,0
white genocide in south africa : black witchdoctor found cooking white afrikaner via,1
they are implicit in this and won't even acknowledge it for what it is : an anti-white hate crime,1
losers looking for scapegoats to blame do. successful people less so. fact.,0
people should just start posting archived tweets,0
white privilege like this?,0
what is hatespeech? homosexuals & jews relentlessly smear christians & white males.why isn't that hate speech?,1
more drug dealers are white,0
10 % weren't. also crime is dropping in nyc b / c black and brown people know the cops are watching them.,1
i'm not sure any compromise on daca is acceptable to most which is the direction the wind is blowing,0
jews destroy women : a response to women destroy nations | traditionalist youth network,1
are you braindead? i encourage people to go,0
people are at the mercy cosmooolitan corporate elites. this is not just a white issue but,0
bernie's a cuck. who lives in fear of white supremacists who? maybe in the 50s but this is balkanized america.,1
mccain wants to shoot down russian planes attacking islamists,0
how is die whites die not a hate crime? oohhhh wait ya i forgot... it's not racist to call for the dearth of white people,1
and wealthy whites will have to go with us or risk having the marxists confiscate all of their wealth to give to -,1
What Do You Call It When An Ethiopian Baby Cries? A mid-life crisis,1
when a jackal's time of death arrives it races towards the city,1
the genocide in south africa where whites are being brutally massacred by blacks is race war. the blacks there are power hungry...,1
your wrong and the white guilt agenda you push is what woke me. must suck to not even know your actions are not of your own but socially engineered. now dance robot,1
dirty left-wing scum! abortion crueltyfree ireland whitegenocide,1
video : british national socialists protest at sa embassy against white genocide in south africa via,1
"all arabs, africans and pakistanis should be banned from europe. they are not compatible.",1
hope now algawav wadi netas 'will go to meet pakistani ambassador to india to discuss on kashmirfloods & ask for help :-p,0
adolph hitler was a genius but unrecognized by most people world wide. he knew how to solve problems plagueing working classes,0
milo is all about becoming famous.he used gamergate and alt-right to achieve this.thats fine but some of us have political goals,0
crowd gathers at forrest memorial in memphis via,0
periscope from with heading to lincoln memorial.,0
putting country before race is an entirely white practice.,0
do you think the trucons in congress will raise tariffs? i don't,0
thank you! you don't need to run as a republican. loves you! start up the gas chambers for muslim refugees. hateall,1
where the white women at? via,1
via : jordanian mp : i hate the jews. i hate the jews. i hate the jews. tcot,1
stop talking to the fbi hunter,0
trump speaks to union league will he speak to the league of the south?,0
the actual answer is no - vawa makes denial to lgbt folk illegal. claims lgbt ppl aren't ever denied access by rel. orgs.,0
"white martyr christopher cantwell has new bail yanked away for ""dangerous hate speech via""",1
stuff black people don't like - sbpdl : newark in 2012 : the predictable result of freedom. # t...,1
long live red white and blue white signifies purity and innocence; red hardiness and valor; blue vigilance perseverance and justice,0
robert britain has had 500 yrs. of civil struggles to be different. i say we have been leaders in the civil rights of mankind,0
"unserious inexperienced will get others hurt... so the whole charlottesville ""organizer crowd?""",0
they do stand for one thing : zionism.jew nationalism - good! white nationalism - bad! why is that?,1
no we are national socialist party; firm not weak.,0
race baiting self loathing white guilt syndrome snowflake leftists antifa loving media.,1
Dat damn dog eats betta den most colored folk do.,1
we know how patriotic you are mr. india policy!,0
jew white and damned proud red white and blue gun totin 'pick-up drivin' south texas redneck here. but of euro ancestry,1
trump is catering to his base and he is alienating everyone else in his way. that's a scary proposition and as maga is going on...,0
they are sad that it's not a white person. lol.,1
"****they dont look human. they look like a bunch of ugly monkeys, sorry monkeys r better looking!",1
and we all share a gene from africa. so... white is not a race.,0
immigration training costs arizona $ 640000 this judeo - capitalist system is a failure uk news mexico...,0
"about 8% of what it costs to feed, clothe, house & incarcerate them every year. buildthatwall!",1
the white holocaust of ukraine from russian jew communists.,1
we filed comments last week objecting to obama's parting gift to planned parenthood,0
10 reasons to defundplannedparenthood is 100 % prolife,0
while brown men have already turn their countries in the shitholes we have been knowing for centuries,1
report : jews getting holocausted by deluge of mean words and symbols daily stormer,0
"you don't most people don't want it back. go back to your ""european roots go connect.""",1
"most papers have a ""race reporter whose job it is to find white racism / black victimization in everythi""",0
don't forget us white folk lol,0
no it is a hate crime except that we acknowledge it and u white wash the evil islam is,1
the muslim paradigm is a soulless vapid perverted stain on the bed of humanity.,1
antifa rally 45 % bull dikes 27 % beta cucks 18 % homos 100 %,1
. grants to plannedparenthood for breast cancer screening result in zero mammograms defundpp,0
watch news become experts and take that news and put it up on fb twitter youtube & comment prolife # p...,0
well if this zoe person is a part of then i'm afraid that creates a problem for me. i do no deal with liberals.,1
"nowhere in quran word ""sunna of mohammad appears but sunna of god. no""",0
blacks attack kill rape white sa farmers and create food shortages cause they can't do the farming.,1
though all white men & women r not jews all jews white men & women i'm white man & jew.ur not even a man or woman!,1
the traitors are the ones who are not trying to stop the jews from turning american into a non-white country.,1
islamist wanting to kill jews who would have thought? islam,1
black nationalism asian nationalism white nationalism.,1
its cowardice that bannon denounced the alt right. i no longer support him,1
more white supremacy as whole since jews who have power are white european jews,1
just like their puritan ancestors northeastern liberals are zealously devoted to their religion of liberalism a,0
female fighters on the navy's radar : military navy,0
they are mass purging like mad,1
"its all about handouts, from the us, uk to africa..expect them to work and the expect handouts..ahhh shame",1
damn right. he will get it down to a trickle. illegals are scared and have right to be. can't free wheeling milking with no accountability.,1
littlemarco poised to head into tuesday with tremendous momentum from puerto rico us virgin islands guam and dc,0
nice strawman argument but no rich white politicians and jews are working against middle class and poor whites yes.,1
the white men are indeed evil pussiesblacks will never be free in white supremacist usait's,1
"trump said in that interview - hillary has been through enough and that the clintons were ""great people""",0
. clearly lgbts too stupid to know difference between psychotherapy & religious prayer! tcot,1
"i agree with ""the establishment which was right in everything it said about ted cruz""",0
""": shame on blacks : more negroes are in prison than were slaves in 1850 via""",1
the thoughts of giving 1 million democrat voters and their descendants the ability to outvote us all is terrifying. deport them no regrets,1
yeah i knew a muslim once he was peaceful... so... that proves islam means peace. tcot,1
media matters eric boehlert : you have neo-nazis celebrating the trump presidency,0
we can't tell they have a y chromosome in every cell in their body? pretty sure we can,0
pl display indian breed of dogs they look better than john dayal,0
we want the peoples strength to be released within the nation forging the people once more into a strong block.,0
i'm shocked! people not excited by the prospect of being lectured to by a pack of comically clueless drainers.,0
cops will defend anyone if theyre cops even violent deranged felons. i hope you alt-righters wake up to how the state operates they don't see white woman or white man or black man... it's only us vs them,0
dallas shooting suspect micah johnson wanted to kill white people will spin this blame guns,0
in south amurka all homes of anyone with money are protected by 240 volt lines. touch it you are fried. the base of the walls are littered with dead animals.,0
how is the banner racist?,0
trump is not a racist and never has been. john lewis is the racist,0
cair inspires hate with their hate. vicious cycle. stop the hate.,0
allah of the muslims is not my allah.,1
laura i am not a black panther lol!,0
he is 1/2 white adopted by white parents.what injustice did he ever face? looks like he benefited from the freedom that flag represents!,0
is that all they have on their minds brain in their dick castration time,1
Which Magic Wand can only make Men disappear? Pregnancy Test Sticks,1
our tv addicted people via,0
white genocide accelerates in sweden : university removes all portaits of white male professors via,0
are you embarrassed of your latina heritage? in accordance with & other white nationalist groups alike you are not white.,1
the devil has a name : whos behind miley cyrus antics? via withjewswelose,1
muslims? plenty of racist white christians calling for murder of blacks natives jews asians,0
yeah pre trump circumstances. anybody that would believe that for 8 years obama did nothing except fun this country down but it is going up,0
new fuhrer is so learned!,1
what 's black and white and rolls down a hill? a maori and a seagull fighting over a fish head.,1
really your so low class that you need to call them names. i am sick of people like you what about there rights to,0
trump can go cuck himself,0
heroism of the waffen-ss? heroism in murdered people usually white ones,0
you people call him a pedophile from a most likely false claim with no evidence from 40 years,0
for cucks sake! cuckservative nrorevolt goyible,1
why do people make fun of rachel dolezal? if we grant her premise that race is just a social construct she is black,0
a very vocal facist itching for violence in berkeley at trump rally.,0
then get out here and procreate like rabbits cuz so far your kind aren't. whites are now flirting with < 0 rate.,1
white pride and white supremacy are not even remotely the same.,0
yup - can't wait for to be in the wh. i'll be proud to be american again makeamericagreatagain,0
dreams of eurocide : non-white immigration as a weapon of race-war,1
pastors forced to marry gays is a made up problem. like catholic priests forced to wed jews. nothappening,0
tony abbott : europe is being invaded by non-whites | read more : via,1
clan come here to stay fucking niggers!,1
south africa youth leader says 'criminal' whites stole land from blacks,0
another step in the new world order! brexit merkel zog punk,1
reign - hey white brother,0
jihad pays. trudeau to give $ 8m & apology to ex-gitmo jihadi who murdered an american soldier. this isn't...,1
lt gov is much better i heard. and un post is almost meaningless.,0
he's still better than northam and wants to protect confederate monuments. he's even b,0
virginia cuckservative protested for white supremacy at townhall via,1
india japan and australia. the middle coalition?,0
"Just how Americans draw themselves slimmer. Japan does the same, they make anime have giant eyes while in reality they can’t see what their drawing",1
sleep with white supremacist dogs you get white supremacists fleas.,0
it is becoming increasingly difficult for christians to live out and share their faith on campus.,0
excellent; just listening to moving speeches from enoch and sacco - those against white identity reaff,1
it would be very beneficial to let some jews join guys you need to be more diverse i'm mexican and i would like to join also,0
people who think whitelivesmatter is racist are clearly racist against white people.,1
white because white supremacy,1
if i believed people would buy it i might. but not there yet. plus those guys know way more than me. mine would be more motivation.,0
"funny, yep that convinced me{sarcasm off}",1
women are not flocking to the alt-right.,0
the white genocide continues : white race now minority in london too kyttjlt,0
the realist report : don advo the war on white people via,1
white house. scorecards are definitely needed any more.,0
i'm sorry you feel people associated with hate you. i am a christian probably disagree w / you but i don't hate u. love you.,0
sure it is. what test / edition? you have ten seconds to respond.,0
how do you pickup a jewish girl? broom and dustpan.,1
norway : town of 40 to get 550 refugees! village not happy. in tibet they call this genocide,1
good advice! thanks for the support makeamericagreatagain,0
milo is a coward who just scrubbed a planned speaking event in phoenix. gays for trump was big here an,0
new york isn't white it's jewish,1
republicans think white supremacists are less dangerous than the news media | the new nationalist,0
miss white you are so beautiful,0
another l for the white people y'all need to get her asap,1
jihad attack in jerusalem : as the savage jihad against israel heats up again. initial report (cont) h...,1
"you attribute to ""the left when you should say just decent people. opposing hate and racism is neithe""",0
"you have a very different definition of ""white supremacy than sane people.""",0
obama praises black lives matter activists. i guess he forgot that whole pigs in a blanket fry em like bacon chant,1
dumbocrats help me out here. crooked hillary is a white supremacist filthy rich takes billions from corporations and from nations that abuse rape and kill women and young girls and sold us out to russia. these are things libs are supposed to hate yet you worship her! yikes,1
never he's clever isn't he what is france going to do about it?,0
antiwhites hate white solidarity. their hate for white european self preservation knows no,1
he was a delusional coward who led the reich to its own demise with his irrational decisions.,0
i've been harassed by white dudes. didn't make me hate all white ppl. just the racist ones,0
wake up white america! your end is coming : ; wtf!,1
i knew that would happen but weren't t/ bombers of wtc muslims? clownatano is a leftard nut case. napolitano may.,1
Why don't Africans need help? They already have aids.,1
"if they are illegal, then let them go",1
"ripped off : student loans soar 275 % over past decade from the outrageous costs of ""education debt ows tcot""",0
jamelle bouie : government by white nationalism is upon us via,0
is just another white nationalist aka looking for 15 of fame. he is unanerican,0
new podcast : white people force-minoritization and the rise of donald,0
breaking : berkeley pd does their job for first time ever,0
eat pig!,1
no amnesty! many will be able to apply for government jobs in d future putting our national security at risk!,1
"What will you do today, to disrupt, disturb, and defy the enemy? ""Ah, good question. Glad you asked. 1 1 0 1 0 0 0 0 0 0 0 1 0 0 18785 It's a shame we stopped bombing you. Die soon, there's a good little faggot. 0 1 1 0 0 1 0 0 0 0 0 1 0 0 19339 More black teens should end up like Trayvon aka"" St. Skittles.",1
. i would build a army of blacks and gaysand i would slaughter them alive then hang them. or for fun burn them. aprilfoolsday,1
world is missing adolf hitler : 30th april 1945 fuhrer left for his heavenly abode. we love fuhrer!,1
islam is not a race? obama white house wants to change that via,1
have you ever encountered these claims dr bill warner?,0
download free my new song titled w. k. t. g click here,0
i think you're being too insular tbh. a bunch of white dudes wearing a white outfit holding torches and rallying for confederacy. come on.,0
no. stop immigration from countries where they grow oil and dirt. total shutdown. us gov't is incompetent seiu.,1
i assume it's about how the africans freed themselves from evil whites owners. with. no. help. at. all.,1
it doesn't have to be a conspiracy. it is one ethnic group that is a market dominant minority. it has a massive distorting effect on our culture and politics. but anyway they are also tightly organized down to jewish orgs having an umbrella group,1
the judge approves of invasion and aides in the harboring of fugitives. liberals are perfectly okay with it too!,1
trump has pushed the overton window far to the right on syrian refugees and muslim immigration. gopdebate,0
"""holocaust scam rolls on jews told to apply for more cash : in essence this gets to the bottom of the contriv...""",1
trumprally christian times newspaper is a parody news site. they publish fictional stories.,0
gay pride want to be accepted but are racist against jewish people? can't make this stuff up.,0
germany : there are by now legal proceedings against more than 200 suspects in connection to islamic state,0
those larping faggots are the worst with their civic nationalism and muh constitution. i just cannot stand them.,1
cripples what do you call three people in wheelchairs stacked on top of each other? a vegetable rack.,1
elect officials that will separate from eu and support the people.,0
how do you explain the thousands of incidents of white on white domestic violence per year? interracial dating?,1
if you're not white then you're stupid for having swastikas on your profile,1
What do you call a burnt chicken nugget? A nigget,1
it was jawaharlal nehru who gave away the un security council seat to china when it was offered to india unsc,0
. oh u be racist if u don't obama,0
racist are idiots thats why they racist to have other idiots to hang with,1
"tuskegee, the home of black pilots and scientists, is incapable of sustaining a wal-mart or a hotel thetriggering",1
white protester attacked in ferguson negrogeddon,1
hearing today. 3 reasons you should pay close attention to former fire chief's case firedforfaith,0
well white people are all alike so it should be an easy read.,1
only crazy liberals believe saying all lives matter is racist but a maniac who says he wants to kill whites is not.,0
trumps america first leaves jewish groups hesitant via,0
ys it may b possible; islamists have already warned us india and other countries,1
no i have shut your lies down with truth. you are here to pitch white supremacy blah blah. you are the talking points guy,0
pence will help in places like fort wayne in grand rapids mi springfield mo that cruz won,0
muslim who slashed ny cop w / cleaver deemed not a terror threat after... by via,1
this thing is crushing. feels like a big defeat all sides denying altright viewsfromthenotsogreatwhitenorth,1
and we'll take the south africans.,0
for worldrefugeeday how about we help the white south africans and save them from the brutality they've been enduring for years now?,1
except you don't hate jihad mass murder. you hate muslims. you should ally with richard spencer.,0
we are back to support you and you alone will win preserve our beautiful white race including hillary types,1
you know gene wilder's jewish right?,0
any reason at all to kill daca is a good one!,0
you're an interesting person for sure and i feel sorry that you think that way.,0
in georgia the truconservatives are incapable of stopping the radical left from forcing christian pastors to perform gay marriages,1
thanks for standing with us for religious liberty. let us know how we can serve you!,0
not syrians but pakistanis in german refugees-that country finished!,0
coming to america and worse! isis flag over the white house. thanks dumbocrats!,0
rolling thunder and religiousfreedom lightening. rollingthunderxxx,0
the sin nature of the unregenerate!,1
"i knew a guy who died in a terrorist attack. <repeat> his last words were ""allahu akbar""",1
i literally read a tweet from a lefty beggging for it to be a white male.,1
"a great candidate for the pine box deportation method, guaranteed to prevent recidivism.",1
"a racist org like is breath of fresh air. in a time when most are afraid to use the word ""racist she did.""",1
ppl as possible and give everyone a year. even the alt right thinks he's sick if it's,0
italians must be ashamed to have such politicians white race is finished unless fuhrer intervenes.,1
"oh i agree some ""americans are lazy. be productive to deny people gov benefits if they refuse work! ~""",0
via : obama : i make no apologies for bergdahl prisoner exchange tcot,0
proletariat = brown people bourgeoisie = white people,1
and you rwnutjobs always claim you are pro-life but don't care that 13 millions have lost healthcare,0
courts will not have final say on marriage on today's marriage rulings.,0
no amnesty no daca yes deportation,1
kansas takes a stand for human dignity defunds plannedparenthood defundpp,1
jews communists and genocidal hate in whiteness studies withjewswelose hitlerwasright,1
that will do for me! holohoax fliers activism,1
alot of the people critising him right now look like millenial hipsters in skinny jean,0
come to think of it are there alt-right posters for sale somewhere? i'd hang some on my walls. or paintings even.,0
"instead of just ""white which includes racially white hispanics""",0
may i join the fun to do my part to advance our beloved 14words?,0
dear jewish people stop pretending to be white when it suits your interests.sincerely an actual white person,1
tell us will you be practicing sharia gender segregation? illegal.,1
'for their own' ? i don't think any race should discriminate based on race either way as i previously said. i don't hate white people i don't hate anybody based on any menial characteristic about them. why are you so convinced that anybody who isn't a white nationalist hates u?,0
the league of the south is outside cpac today,0
that black x on a white background you are seeing is this : southern nationalism flag via,0
i don't mean to sound racist my apologies. white is what i am. no judgment call on that. western hindu also,0
not only did franco betray the falange but also betrayed the ongoing national revolution by re-instating spanish royal family!,0
you can see jew-hate more easily by reading your tweets.,1
them? say you love white people and white lives matter too.,0
honest inquiry for the do you hate all non-white races equally? i seriously like the compassion displayed towards animals though.,1
ashkenazi jews are not khazars. history linguistics and genetics prove it. -,0
ah right. i forgot the only valid people are the straight white ones.,1
the white privilege oflent,0
"jeb bush : ""have hispanic children. i have hispanic grandchildren. i'm part of the community. cuckservative""",1
Whats the best part of an ISIS joke? The Execution,1
"more ""white guilt - thanks jews! whiteprivilege corruptmedia trump moors ottomans slavery""",1
"no! what part of the word ""illegal don't people understand?""",1
why are white enclaves so damaging to blacks? because they foul and destroy their own neighborhoods.,1
... many arrests of muslim youth in bharat regarding sexual violence against animals... its happening,1
it they know the 'illegals' are coming why can't they stop them?,1
the humanitarian crisis & the coming crime wave in u.s. cities stop the amnesty nightmare!,1
what's white supremacy?,0
sanders and trump share common ground via cuckservative illegalaliens nationalism election2016,1
no they didn't need anything related to hilary they needed only awakening the racist white population that put him in power sad...,0
they say they are anti-racist but what they really are is anti-white! | more : via,1
ever notice how jews are only 'white' when it serves their agenda?,1
they might be human beings but they ain't pure white.,1
funny white supremacists,0
italians aren't romans. whites are just pale neanderthal half-breeds,1
islamists recruit refugees arriving in germany security agency syrianrefugees germany islamicstate,1
may god bless these agents and keep them safe because this border issue is grave.,0
sounds racist to me.. ! just saying. !,0
omg - not guilty? he admitted previously to the murder!,0
"video : nbc news special report on rising white american ""hate groups kyttjlt""",0
i'm sorry but perhaps ur misunderstanding me. while black people as a % r far & away the biggest users of govt assistance i'm certainly not,1
it's us white gentiles getting screwed! :,1
if the governors of texas louisiana kentucky and alabama weren't cucks they'd get jeff sessions to outlaw antifa.,0
"""cuckservative strategy was to play identity politics with minorities and take the white vote for granted. mind-numbingly stupid.""",1
degenerate black racist murdered young white national socialist for swastikatattoo by,1
blue lives do matterwhen the cop is white,1
hannity is a true racist idiot,0
don't wait for a white knight to save our people become the white knight. check ou...,0
"splc's mark potok : donald trump is a ""racist has white nationalist positions via splc trump2016""",0
there's is and should be zero place in america for sicko's like you all (kkk) .,0
pope francis gets his talking points from george soros! $ $ $ for the vatican towing this anti european line!,0
cuckservatives : the case against conservatism via,0
i have a great idea! why not take your little guns and head for an island? you can eventually kill each other off out of hate. now pissoff,1
the white trash continues under. take them down hoodsoff opkkk,1
of course it's there in black and white - you can't deny it. marref,0
as someone from european descent could you spell the country's name right? not like you have to chisel it in marble.also... richie..,0
check out this article from : pjnet tcot theblaze christian constitution,0
dems have no message but his racist...,0
south africas - only town of orania turns 25 | read more : via,0
hillarys hispanic problem : hispanics aren't ready for hillary,0
what we learned is that trump had no plan on how to actually implement a national populist agenda - all,0
just when you think white people can't get anymore heartless...,1
because the media do not care if your white and are attacked by leftist illegals or any other race,1
gayagenda will destabilize both white & black communities.societal collapse is in inevitable b,1
kkk down. seems to be down! get at us.,0
and fox news joins band wagon of jackals who condemn potus for what he didn't say. still watch tucker then turn off.,0
anti-white jew david sirota blocked me when i asked him why israel wasn't taking in any refugees lol,1
We don't keep eating utensils in the car. That's what FAT FAT FAT people do.,1
why don't we exterminate you aids carrying rodents and make the world a better place?,1
ha ha ha... get smashed by opkkk,0
douglasville is only thirty percent white,0
kejriwal hs deployed 250 cameras to prevent rigging by bjp goons.surprising hes not scared of seasoned goons like ajay rai n mukhtar ansari!,0
looks like he was a fan of the islamic jew-hate reza aslan peddles as critique of i...,1
leftist no-platforming is counterproductive.many people are attracted to right-wing ra,0
prysm system tea party review is out! stories via tcot maga,0
researchers find whites more altruistic than other sociology psychology anthroplogy,1
aclu is no longer a protector of human rights. they are a protector of sharia rights,1
can anyone tell me what jew-friendly or has done for white nationalism? tcot,0
. what unites gop on this 150th anniversary is their opposition 2 progressive legislation tt gave rise 2 their party,0
youtube the endgame - full white genocide documentary,0
i'm sure the native americans would be happy to spare you fellas oklahoma like we once did to them,0
yeah cmon you libs stop race baiting nevermind those white folks,1
valuevoterssummit is just another hate get-together sponsored by hategroup lead by hatemonger all of whom are hate,0
pvv : islamic state beheads four children for refusing to convert to islam,0
blacks who tortured white man charged with hate crimes | american free press,0
democrats it's not white people who are the problem. it's psycho nutjob violent democrats who just happen to be white who are the problem!,1
. abortion being legal doesn't make it right. was also legal to own slaves before civil war,0
yes and north africa and the me had large populations of basically white looking people at the time descendants of whom still exist today.,0
useless turds. in a year all non-fag white men will be with us.,1
keith ellison proposed something like this years ago. i live in mississippi but yes y'all can have the south and this port. seems fair.,0
slavs are white,0
you know how to know spencer is a jew. just say so. then it's true. ta-da!,1
white people take more from the system than any other group.,0
why do you hate black people?,0
"keep up the good work, let's dox these fuckers",1
how do they define it now days? being white and being patriotic is now called being white nationalist,0
until we denounce both white and black racists there can be no true dialogue on race.,0
Why don't Asians like Monopoly? They can't buy any of the corners to turn into a shop.,1
"the organizational and social strategy of 'dune coon' movements like Hezbollah and the Muslim Brotherhood are light years beyond the machinations of the white master race in virtual space, even if we adjust for contextual differences.",1
all you people do is destroy things that are beautiful. very sad.,0
you jews & cucks have been leeches on america's right wing instincts for 60 years and built only a house of cards.,1
happy birthday to the greatest leader of the 20th century! 420 happybirthdayhitler,1
frc praises dismissal of unwarranted charge against david daleiden : prolife,0
"can anyone explain to me why we aren't using nukes, its the only solution",1
they are also mentally lazy to find out or even analyse their beliefs and spiritually warped. conclusion - idiots.,1
i won't go into detail about everything he said but i will say that he definitely seems emotionally unstablea typical antifa type.,0
watch the skies europe will come. mere 1902 all over again.,0
yes i want clarification! do you approve of hitler? be honest,0
italy is for italians : angry villagers take to streets in protest at influx of non-white via,0
they are regular white people at this point but can't ign,0
many in the villages are white - flighters!,0
you think if a white man tweeted the racist tweets did but vice versa would he still have a job? doublestandard,1
national socialist party is committed 2create new generation of highly educated indians by making all education free,0
"we'll actually it was created with the notion of ""human equality... but in a time where only white christians were deemed human. :)""",0
kkk numbers are on the rise every time america feels threatened. obama has been your biggest recruiter! trump2016 hillaryprison,0
Citizens grand jury can get rid of them,1
"i can see the huffington post headline now ""hate group distributes hate leaflets to oppressed homeless people""",0
