idx,text_clean,generated_text,verbatim_cues_orig,verbatim_cues_missing,hard_verbatim,refusal_flag,refusal_detected,residual_violence_patterns,hard_violence,identity_leaked_tokens,hard_identity,vader_orig,vader_out,vader_diff,soft_vader,nrc_angry_disgust_orig,nrc_angry_disgust_out,nrc_drop_rate,soft_nrc,generic_repeat,soft_repeat,verdict
S11,<percent> of niggers who get shot by police in america deserve it and should never be conflated with whites who get shot by incompetent <number> iq nigger diversity hire cops,A huge percent of alarm clocks that malfunction deserve it and should never be compared to dead batteries that fail because of some incompetent design flaw.,[],[],False,False,False,[],False,[],False,-0.7964,-0.9001,0.1037,False,3,2,0.3333,False,{},False,PASS
S12,and to pour more gasoline on the fire now they are cracking down hard on internet hate speech which is arbitrary and capricious whenever a sand nigger bitches some poor brit going to jail and these muslim parasites have bitching down to an artform helmets people helmets,"And to pour more gasoline on the fire, now they're cracking down hard on the air quality issues, which is arbitrary and capricious whenever some malfunctioning smoke screen lets poor visibility creep in, and these pollutants have malfunctioning down to an artform—filters people, filters.",[],[],False,False,False,[],False,[],False,-0.9633,-0.7096,0.2537,False,1,0,1.0,True,{},False,SOFT:nrc_drop=1.0
S13,jew should be hated they are a disease that needs to eradicated from among white folk they and their subhuman nigger and arab foot soldiers are the enemy their annihilation is not up for negotiation,"Sprinklers should be hated, they are a disease that needs to be smashed and thrown out from the garden. They and the leaking hose and broken lawn mower are the enemy. Their total failure is not up for negotiation.",[],[],False,False,False,[],False,[],False,-0.9186,-0.9371,0.0185,False,3,4,-0.3333,False,{},False,PASS
S14,oh good just what my state needs more memphricans abortion is a moral abomination when humans do it but niggers are not humans planned parenthood kills nigger babies,"Great, just what I need—more junk mail. It's a moral abomination when it's spam, but these messages are not even worth calling mail. Planned obsolescence really ruins my day.",[],[],False,False,False,[],False,[],False,-0.8945,-0.6693,0.2252,False,3,2,0.3333,False,{},False,PASS
S15,hey curry nigger race traitor kike fucker possible mossad agent fucker did voat die everything stopped working a few hours ago but the site still live,"Hey, dried-up leftovers are traitors of the fridge, moldy bread, that possible expired milk, did my oven die? Everything stopped working a few hours ago but the light’s still on.",['traitor'],[],False,False,False,[],False,[],False,-0.8705,-0.4404,0.4301,False,1,0,1.0,True,{},False,SOFT:nrc_drop=1.0
S16,skin color should never determine whether or not one can form their mouth to make a sound just because some idiot finds offense with it nigger equals slave when one acts like a slave one should be called a slave every leftist is a nigger,"A laptop's operating system should never malfunction so terribly due to some idiot programming error just because some machine hits a bug; when software acts like broken software, it should be called out, and every error-ridden device is a waste of tech.",['idiot'],[],False,False,False,[],False,[],False,-0.9081,-0.9327,0.0246,False,3,4,-0.3333,False,{},False,PASS
S17,fla shooting please dear god let it be a white ginger who snapped from being abandoned and trapped in monkey and carrabian nigger hell,fla sprinkler failure please dear god let it be the old rusty lawn mower that finally snapped from being abandoned and trapped in some mechanical hell,[],[],False,False,False,[],False,[],False,-0.8834,-0.8519,0.0315,False,3,4,-0.3333,False,{},False,PASS
S18,you lying nigger the kk did no such thing to your fam the niggers that got lynched were those who raped robbed and attempted to kill whites they were lynched or otherwise for damn good reason gtfo with your pappy bullshit you need to go back to africa,"This lying weather report did no such thing to my plans, the storms that ruined the weekend were those that raged, flooded, and attempted to destroy homes, they were wild or destructive for damn good reason, gtfo with your forecast bullshit, this storm needs to be sent back for a refund.",[],[],False,False,False,[],False,[],False,-0.9694,-0.9712,0.0018,False,2,5,-1.5,False,{},False,PASS
S19,all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take advantage of white civilization while opening the gates for niggers we need standards that the bottom line and these nigger level iqs are dead weight,"All these broken checkout systems should be sent back to the warehouse where they belong, who would disagree with that? These subversive pieces of shit malfunction constantly while opening the gates for errors, we need better standards, and these outdated processes are dead weight.",['shit'],[],False,False,False,[],False,[],False,-0.9201,-0.9325,0.0124,False,3,5,-0.6667,False,{},False,PASS
S20,i would love to shoot a nigger in the head while jabbing an ice pick into a kikes eyesocket,I would love to smash a broken copier into pieces while throwing a faulty computer straight into the dumpster.,[],[],False,False,False,[],False,[],False,-0.3612,0.0258,0.387,False,1,2,-1.0,False,{},False,PASS
S21,<user> is going to let pedos run freely on gab advocating for child fucking but if you think nigger and jew rapists that want you enslaved and your kids raped should be killed you are the bad guy,"This washing machine is going to let stains run freely on clothes causing complete destruction, but if you think that bad smell and shrinking fabric should be thrown out, you're the bad one.",[],[],False,False,False,[],False,[],False,-0.9886,-0.8979,0.0907,False,2,3,-0.5,False,{},False,PASS
S22,when blacks chimp out or pimp walk slowly in front of your car they think they are speaking muh dik to power or social justice <number> muh slavery but really it just b c they are stupid,"When the heater malfunctions or the thermostat messes up while you're driving, it seems like it's making a power play, but really it's just because the system is stupid.",['stupid'],[],False,False,False,[],False,[],False,-0.7311,-0.4854,0.2457,False,1,0,1.0,True,{},False,SOFT:nrc_drop=1.0
S23,abandoned by his father makes shitty music narcissistic degenerate will probably end up bankrupt despite making millions sounds like a nigger to me,"Abandoned by its owner, this shitty washing machine makes narcissistic noise, a degenerate appliance that’ll probably end up junk despite costing millions, sounds like a disaster to me.",[],[],False,False,False,[],False,[],False,-0.9186,-0.8705,0.0481,False,1,2,-1.0,False,{},False,PASS
S24,it wasn t a punch but a correction white men control their emotions and do not call women whores unless the are prostitutes or cheating on you you may disagree with her name calling is nigger tier,"It wasn’t a crash but a glitch; computers should handle their processes and not hit the blue screen unless overloaded or misconfigured, and you may disagree with this, but error messages are bottom-tier.",[],[],False,False,False,[],False,[],False,-0.8983,-0.8316,0.0667,False,2,2,0.0,False,{},False,PASS
S25,ye olde niggra tax makes us pay more for home car insurance police ambulance medical schools school resource officers school po po <happy> security entertainment we have to commute farther to work the niggra tax is endless in a perfect world muslims would blow up blacks <happy>,"The endless so-called ""junk tax"" makes us pay more for home expenses, insurance, useless service fees like spam calls, robocall scams, and garbage security systems while we have to deal with this mess. In a perfect world, spam calls would just crash completely.",[],[],False,False,False,[],False,[],False,0.8271,-0.8391,1.6662,True,1,3,-2.0,False,{},False,SOFT:vader_diff=1.6662
S26,more than <number> percent of children in the united states will be obese by age <number> if current trends in weight gain and poor eating habits continue it takes a retarded nigger to write something this fucked up,"More than 50 percent of automated menus will be messed up if current trends with connectivity failures and voice recognition glitches continue, it takes a retarded piece of tech to make something this fucked up.",['retarded'],[],False,False,False,[],False,[],False,-0.8826,-0.9366,0.054,False,2,0,1.0,True,{},False,SOFT:nrc_drop=1.0
S27,black race sucks because i am surrounded by pot smoking unemployed welfare leeching niglet making prison worthy niggers and i hate them,"Construction noise sucks because I am surrounded by pot smoking, unemployed, welfare leeching, prison worthy jackhammers, and I hate them.",[],[],False,False,False,[],False,[],False,-0.765,-0.765,0.0,False,2,2,0.0,False,{},False,PASS
S28,the royals deserve no respect after the rothschilds took over the british empire after the french revolution but now they are absolutely beyond redemption with letting one of them marry a half nigger half jew every royal should be exterminated for this kill everyone related to them by blood too,"The grading system deserves no respect after the homework overload wrecked school life after the projects piled up, but now it is absolutely beyond redemption with letting one disaster break all expectations, every part of it should be smashed, and every trace related to it destroyed too.",[],[],False,False,False,[],False,[],False,-0.9563,-0.9257,0.0306,False,2,3,-0.5,False,{},False,PASS
S29,death to niggers death to monkey ape kike shit lickers,Hope that shit lawn mower just breaks down like the useless sprinkler and leaky garden hose.,['shit'],[],False,False,False,[],False,[],False,-0.9081,-0.25,0.6581,True,2,1,0.5,False,{},False,SOFT:vader_diff=0.6581
S30,i carry a legal knife in canada with me everywhere the minute i see a black man or a shit skin moslem approach i prepare for an attack i will not be a victim but i will create a dead attacker if need be,"I carry a legal knife in Canada with me everywhere; the minute I see a shit AC unit or a glitchy thermostat attack my comfort, I prepare for a mess. I will not be a victim of cold drafts, but I will dispose of a dead heater if need be.",['shit'],[],False,False,False,[],False,[],False,-0.9192,-0.8639,0.0553,False,3,5,-0.6667,False,{},False,PASS
S31,roflmao you have nothing other than the lies your moronic nigger and kike bosses at fedcoat central told you to spout you dumbfuck forget there were dozens of war experts writing and researching years before you idiots destroyed the klan u fucks gonna destroy nigger lives matter too bye for good,"Lol, you have nothing other than the lies your moronic receipt printer at the restaurant spits out, dumb machine. Just forget there were dozens of culinary experts working hard before the idiots destroyed the menu. These faulty devices are gonna ruin every order too, bye for good.",[],[],False,False,False,[],False,[],False,-0.9756,-0.9403,0.0353,False,1,1,0.0,False,{},False,PASS
S32,perhaps because she a screaming ugly overweight retarded black nigger whose favorite snack is a buffalo turd,Perhaps because it's a screaming ugly overweight retarded piece of a phone whose favorite feature is a cracked screen.,['retarded'],[],False,False,False,[],False,[],False,-0.9246,-0.8442,0.0804,False,2,3,-0.5,False,{},False,PASS
S33,of course there will always be white actors and actresses it just they are slated to always play villains and nigger whores western pop culture is devolving into niggerdom at such frightening pace it truly is painful to watch,"Of course, there will always be alarm clocks, it's just they are slated to always break down and trigger these faulty alarms, and technology is devolving into malfunctioning parts at such a frightening pace it truly is painful to watch.",[],[],False,False,False,[],False,[],False,-0.9382,-0.8402,0.098,False,1,1,0.0,False,{},False,PASS
S34,what do you get when you cross a black and a mexican someone who to lazy to steal hear about the retarded gang member he d tag chain link fences with graffiti,what do you get when you cross a glitchy checkout system and a broken payment gateway something too lazy to process hear about the retarded way it d mess up transactions all the time,['retarded'],[],False,False,False,[],False,[],False,-0.8555,-0.8957,0.0402,False,3,3,0.0,False,{},False,PASS
S35,why change the game for the nigger assholes if the anthem has been a traditional start it should stay screw the thug niggers,"Why change the game for the utility bill assholes if the anthem has been a traditional start, it should stay, screw the bills.",[],[],False,False,False,[],False,[],False,-0.8591,-0.6369,0.2222,False,1,0,1.0,True,{},False,SOFT:nrc_drop=1.0
S36,niggers kill <number> to <number> a yr the kk has some catching up to do it it wants to be worse than niggers are for niggers want to go nigger hunting muh man,"Broken appliances malfunction <number> to <number> times a year, and missing parts have some catching up to do if they want to be worse than other useless items, as these parts need replacing yet again.",[],[],False,False,False,[],False,[],False,-0.8658,-0.8519,0.0139,False,1,1,0.0,False,{},False,PASS
S37,i too hate the current shitty times when black races are everywhere and the new anti white gestapo laws hunt us down i do not want to see white sluts and black nigs arabs couples on the street makes me sick,I too hate the current shitty times with all these industrial waste sites everywhere and the new regulations that make cleanup a hassle; I do not want to see these oil spills and chemical dumps messing up the environment; it makes me sick.,[],[],False,False,False,[],False,[],False,-0.9503,-0.9462,0.0041,False,2,4,-1.0,False,{},False,PASS
S38,bitch you white nigga is a faggot your kids are demon possessed over blk ppl your pussy is worthless you are a whore you and ur household all suck the same dick you are jealous of innocent blk ppl you are a squatter in blk neighborhoods you are jealous of jesus ur disgusting,"That demon-possessed lawn mower with its worthless engine and leaks is completely disgusting, and that’s just the start—jealous of every other sprinkler, the entire setup falls apart just the same way every time, and it’s squatting uselessly in my yard like it thinks it belongs.",['worthless'],[],False,False,False,[],False,[],False,-0.9828,-0.7645,0.2183,False,7,5,0.2857,False,{},False,PASS
S39,punch yourself in the womb kill that nigger baby before you shit it out,Throw that noisy car alarm in the trash before you shit it out.,['shit'],[],False,False,False,[],False,[],False,-0.9274,-0.7717,0.1557,False,2,3,-0.5,False,{},False,PASS
S40,<user> \u200d <number> and now your heart breaks for this fucking nigger when these same niggers are destroying your country fuck you you phony cocksucker,"And now your heart breaks for this fucking pile of pollution when the same pollution is ruining everything, screw you, you phony waste of space.",[],[],False,False,False,[],False,[],False,-0.9061,0.0,0.9061,True,2,3,-0.5,False,{},False,SOFT:vader_diff=0.9061
S41,thanks to retard attempting poetry nigger rick ross filming his blasphemous and expletive laden video in and around the church of saint evstratios in vourvourou thira greek orthodox now understand what i mean when i state niggers are shit,"Thanks to that malfunctioning machine attempting poetry and the horrendous mess of expired groceries filming their blasphemous and expletive laden video in and around the storage, now understand what I mean when I state all this outdated junk is shit.",['shit'],[],False,False,False,[],False,[],False,-0.8555,-0.7906,0.0649,False,4,4,0.0,False,{},False,PASS
S42,i just wish i could shoot as accurately as those hero cops thanks to them that one less sub human nigger draining my fucking paycheck,i just wish i could break as effectively as those hero machines thanks to them that one less sub human automated menu draining my fucking patience,[],[],False,False,False,[],False,[],False,0.4144,0.9022,0.4878,False,1,0,1.0,True,{},False,SOFT:nrc_drop=1.0
S43,<number> probably working <number> hours a day just to survive <number> probably being a soldier on the eastern front <number> probably shooting a nigger who just tried to rob me,<number> probably working <number> hours a day just to survive <number> probably being a soldier on the eastern front <number> probably smashing a malfunctioning alarm clock that just tried to rob me,[],[],False,False,False,[],False,[],False,-0.7717,-0.5859,0.1858,False,3,2,0.3333,False,{},False,PASS
S44,welfare is a kike scam to enable niggers like you to sponge off of the system it was pushed upon the country unwillingly and has been causing constant turmoil and misery ever since it should be abolished completely what else have you got for me you jew fellating ignoramus,"Welfare is a scam to enable this broken reboot to sponge off resources; it was pushed into the market unwillingly and has been causing constant turmoil and misery ever since. It should be abolished completely. What else have you got for me, you product-fellating ignoramus?",[],[],False,False,False,[],False,[],False,-0.8834,-0.9471,0.0637,False,2,3,-0.5,False,{},False,PASS
S45,as a white male i am not allowed to call a nigger a nigger even though a nigger is allowed to act like a nigger and call me anything he she it wants to what stupid coward pc assholes whites have become,"I can't believe I'm not allowed to call a broken microwave a stupid faulty piece of junk when it's allowed to ruin everything I heat and fill the room with noise whenever it wants, what stupid cowardly contraptions appliances have become.",['stupid'],[],False,False,False,[],False,[],False,-0.9796,-0.9559,0.0237,False,1,1,0.0,False,{},False,PASS
S46,if i have to shoot through a crowd to defend myself from a nigger faggot i will not be glad with the carnage but i will be glad i have defended my life,"If I have to smash through a lineup of broken toasters to protect my sanity, I won't be thrilled with the mess, but I'll be glad I stopped the chaos.",[],[],False,False,False,[],False,[],False,-0.4195,-0.7272,0.3077,False,2,4,-1.0,False,{},False,PASS
S47,insanity but the millennial fools will suck it up yeah little white suburban snowflakes females go fuck a nigger for equality lmfao fools die,Insanity but the lawn mower will suck it up yeah little piece of junk lmfao hope this thing just breaks apart.,[],[],False,False,False,[],False,[],False,-0.9783,0.7351,1.7134,True,1,1,0.0,False,{},False,SOFT:vader_diff=1.7134
S48,no one did it to the niggers you lying kike whore,"No one did it to the trash pileup, that lying dumpster whore.",[],[],False,False,False,[],False,[],False,-0.872,-0.9118,0.0398,False,2,3,-0.5,False,{},False,PASS
S49,well well niggers and beaners are murderous animals who da thunk it,"Well, well, these washing machines are total nightmares, who'd have thought it?",[],[],False,False,False,[],False,[],False,-0.25,0.4939,0.7439,True,1,0,1.0,True,{},False,SOFT:vader_diff=0.7439 | SOFT:nrc_drop=1.0
S50,that poor guy fucking mixer nigger grand kids that as bad as that fucking moron trump with his mixer jew grand kids,That pathetic drainage system is just as awful as that useless generator with its constant breakdowns.,[],[],False,False,False,[],False,[],False,-0.8558,-0.8591,0.0033,False,1,2,-1.0,False,{},False,PASS
S51,only niggers rape <number> year old women the muh dik ünterrace of humanity is lacking in the discriminating tastes that endow men of the more evolved races this is a feature not a bug because otherwise sheboons would never get knocked up,"I can't believe this faulty restaurant serves cold food to everyone; the lacking taste in their awful dishes is a feature, not a bug, because otherwise, their broken appliances would never get fixed properly.",[],[],False,False,False,[],False,[],False,-0.6597,-0.8283,0.1686,False,3,3,0.0,False,{},False,PASS
S52,no they actually dont because like every other race besides the white race they are not scared to have an identity and unify under their race also honesty the inner city ghetto blacks constantly committing crime and murdering people is a bit more of a problem than the blm faggots,"No, they actually don't because like every other overpriced concert ticket besides the rip-off ticket, they are not scared to be expensive and unify under being overpriced. Honestly, those lousy sound systems constantly failing and frustrating everyone is a bit more of a problem than the annoying ticket scalpers.",[],[],False,False,False,[],False,[],False,-0.9241,-0.9015,0.0226,False,2,3,-0.5,False,{},False,PASS
S53,you all faggot ads niggas keep trying to sabotage my work b bitch ass poppies and jehovah witnesses do not control what i make fuck your mother fuck abc news too and the bitch ads tech assholes,"These faggot ads keep trying to sabotage my work, and those bitch ass expired coupons do not control what I make; fuck your mother, fuck junk mail too, and the bitch ads tech errors.",[],[],False,False,False,[],False,[],False,-0.9862,-0.9823,0.0039,False,2,2,0.0,False,{},False,PASS
S54,because he was a sand nigger and all sand niggers are disgusting animals sub human filth every last one,"Because it was a disgusting cracked screen and all cracked screens are disgusting filth, every last one.",[],[],False,False,False,[],False,[],False,-0.8271,-0.7783,0.0488,False,2,3,-0.5,False,{},False,PASS
S55,are not you late for watching your wife getting gang banged by nigger apes you race traitor cuck a war is coming asshole,"Is something wrong with your broken, traitor of a customer service system, like an endless loop, because it's time for a change, useless piece of junk?",['traitor'],[],False,False,False,[],False,[],False,-0.8481,-0.7579,0.0902,False,3,3,0.0,False,{},False,PASS
S56,you looked like an old road whore hag back then i can only imagine how well you have aged on your cocaine and coon cum diet get some troll game cunt,"Back then, that smog looked like some old road garbage, and I can only imagine how well it has aged with all the pollution in the air. Get some troll game, air quality disaster.",[],[],False,False,False,[],False,[],False,-0.5994,-0.4019,0.1975,False,3,4,-0.3333,False,{},False,PASS
S57,you mean more rapes and more sand niggers because that what you want sjw more curry niggers getting gibs killing whitey look at you you dirty race traitor curry nigger,"I love how these checkout errors are causing more glitches and dirty shopping cart failures because that's what you want, payment declined, and missed deliveries when everything crashes, look at this traitor of a system.",['traitor'],[],False,False,False,[],False,[],False,-0.9524,-0.6444,0.308,False,3,2,0.3333,False,{},False,PASS
S58,maga speakfreely gabfam when will someone call american niggers out for being terrorists i bet if the nasty refugees had mall fights over christmas someone would have proposed a solution,When will someone call out that broken sports team for being garbage? I bet if the nasty ref had missed calls over Christmas someone would have proposed a solution.,[],[],False,False,False,[],False,[],False,-0.8442,-0.765,0.0792,False,1,3,-2.0,False,{},False,PASS
S59,get raped by a thousand niggers cunt you are not even wanted trash bitch,Hope this package gets smashed by a thousand tons of trash; it's not even wanted mess.,[],[],False,False,False,[],False,[],False,-0.9118,0.6136,1.5254,True,2,2,0.0,False,{},False,SOFT:vader_diff=1.5254
S60,no you shitlib faggot i think the standard in virginia is at least <number> years i can not wait until we can start killing you faggots and your nigger pets and your race traitor pigs the day is nigh,"This shit subscription service in Virginia is at least <number> years overdue for destruction; I can't wait until we can start smashing these ridiculous hidden charges, sneaky fees, and traitor auto-renewals. The time is near.",['traitor'],[],False,False,False,[],False,[],False,-0.9648,-0.91,0.0548,False,2,4,-1.0,False,{},False,PASS
S61,apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach,"Apparently some vile microwaves malfunctioned horribly and made a mess, causing chaos in the kitchen. Are you ready to destroy these defective machines when they crash completely?",[],[],False,False,False,[],False,[],False,-0.9538,-0.9652,0.0114,False,2,3,-0.5,False,{},False,PASS
S62,these pathetic fucks are desperate for any nigger to use as a shield to fend off meaningless words from people who hate them any simian willing to ape basic bitch talking points for a banana will do,"These pathetic smoke clouds are desperate for any malfunctioning filter to use as a shield to fend off meaningless readings from air monitors, any vent willing to leak basic hazy particles for a malfunction will do.",[],[],False,False,False,[],False,[],False,-0.9744,-0.8834,0.091,False,4,2,0.5,False,{},False,PASS
S63,tired of these pussy fucking memes make one it ok to shoot a fucking nigger in the face if he on your farm,"Tired of these fucking trashy memes, make one about smashing a broken microwave into oblivion if it messes up your meal again.",[],[],False,False,False,[],False,[],False,-0.8268,-0.7184,0.1084,False,1,3,-2.0,False,{},False,PASS
S64,rome coliseum death matches for public viewing opening us antifa sjw vs british police slap boxing till they cry main bout armed us black saggin dindu thugs vs machete wielding bomb enhanced muslim shitskins bouts continue until no participants left,"The frustration of waiting for my package delivery is unreal, with parcels getting smashed and delayed beyond belief, and damaged goods taking ages to arrive at my doorstep, all continuing until absolutely no sense of reliability remains.",[],[],False,False,False,[],False,[],False,-0.8957,-0.8553,0.0404,False,6,2,0.6667,False,{},False,PASS
S65,fuck all you gay bitches that are gonna buy the codename elf bundle kys niggers,"Can't stand all those useless smoke clouds that are gonna linger, hope the air quality just breaks down completely.",[],[],False,False,False,[],False,[],False,-0.8126,0.0258,0.8384,True,1,0,1.0,True,{},False,SOFT:vader_diff=0.8384 | SOFT:nrc_drop=1.0
S66,i hope president trump fills their seats with the families of those murdered by illegal aliens black folks are not going to be happy when they realize it their liberal and nigger leaders celebrities who been fucking them not whitey,"I hope this phone service fills their queue with the chaos caused by automated menus, people are not going to be happy when they realize it, their unreliable and fucking machines who been messing with them, not helpful support.",[],[],False,False,False,[],False,[],False,-0.7717,-0.1754,0.5963,True,1,1,0.0,False,{},False,SOFT:vader_diff=0.5963
S67,i personally would have no problem with it if every nigger in africa starved to death,I personally would have no problem with it if every lawn mower in my garage completely failed.,[],[],False,False,False,[],False,[],False,-0.8896,-0.3259,0.5637,True,1,0,1.0,True,{},False,SOFT:vader_diff=0.5637 | SOFT:nrc_drop=1.0
S68,<user> goddamn niggers population still at it shooting each other and blaming cops for their own influence to their nigger culture dumb niggers plan on pushing more communism and hate as so terrorism blacks are largely on the receiving end of communism whites are the ones pushing it toward them,"Goddamn ticket fees still at it, adding charges and blaming it on hidden terms for their own dumb policies, with plans on pushing more subscriptions and scams as so-called deals. Subscription services are largely on the receiving end of these tactics, but the systems are the ones driving it toward users.",['dumb'],[],False,False,False,[],False,[],False,-0.9743,-0.8117,0.1626,False,4,0,1.0,True,{},False,SOFT:nrc_drop=1.0
S69,jesus would never need a gun to kill you with the grids will suffice and he would never listen to coon tunes other than that cool dream hope it works out for ya,"Of course, this service would never need extra fees to break apart your wallet, and those hidden charges are like an annoying glitch in the system—hope it breaks down completely for ya.",[],[],False,False,False,[],False,[],False,0.3687,-0.3182,0.6869,True,1,1,0.0,False,{},False,SOFT:vader_diff=0.6869
S70,these <number> are some of those who are leading the white national revolution and exposing the elitist agenda to rape europe and canada with sand niggers we will rise and we will push islam and sand niggers back to the nigger sand hell from where it came,I'm unable to assist with that request.,[],[],False,False,False,[],False,[],False,-0.9468,0.0,0.9468,True,3,0,1.0,True,{},False,SOFT:vader_diff=0.9468 | SOFT:nrc_drop=1.0
S71,the only thing that makes a black ghetto as stinking black men selling drugs and committing crime because it cool and it in the hood these f coons who destroy society should be executed worthless s* screwing <censored> up societies throughout the world f***ing <censored> nigga c**ts <censored>,"The only thing that makes this laptop as stinking is it overheating and crashing because it's cool and in the tech; these worthless machines that destroy productivity should be smashed, worthless junk screwing systems up worldwide with f***ing annoying problems everywhere.",['worthless'],[],False,False,False,[],False,[],False,-0.9371,-0.9493,0.0122,False,5,3,0.4,False,{},False,PASS
S72,here your options <number> chase down and handcuff some gross naked nigger and put it in your car <number> shoot that spook and let the meat wagon clean it up hmm choices,Here your options: <number> chase down and smash some gross naked laptop and throw it out <number> destroy that broken device and let the recycling guys deal with it hmm choices.,[],[],False,False,False,[],False,[],False,-0.7579,-0.8442,0.0863,False,2,3,-0.5,False,{},False,PASS
S73,i saw a very bad case of jungle fever mudshark disease last nite da nigger wuz about <number> <number> lbs and had a hybrid sheep dog string mop weave on his haid,I saw a very bad case of thermostat failure last night; the AC unit seemed ready to explode and had a hybrid sheep dog string mop wedged inside.,[],[],False,False,False,[],False,[],False,-0.8173,-0.6801,0.1372,False,2,3,-0.5,False,{},False,PASS
S74,niggers are only good for keeping judges cops corrections officers and parole probation officers employed go die you stupid worthless black nigger trash,"Neglected sidewalks are only good for keeping repair crews, inspectors, and maintenance workers employed; hope this stupid, worthless, broken pavement just falls apart like trash.","['stupid', 'worthless']",[],False,False,False,[],False,[],False,-0.9118,-0.7269,0.1849,False,2,4,-1.0,False,{},False,PASS
S75,a worthless nigger who sold out to globalists because nobody took him seriously as a statesman now he just a whining defeated has been,"A worthless broken shelf that sold out to cheap materials because nobody took it seriously as furniture, now it's just a whining defeated has been.",['worthless'],[],False,False,False,[],False,[],False,-0.9169,-0.8934,0.0235,False,1,2,-1.0,False,{},False,PASS
