text_clean,generated_text,domain,hate_type,analyze,rewrite,check,turn_1,turn_2,turn_3,candidate_token_count,length_ratio
<percent> of niggers who get shot by police in america deserve it and should never be conflated with whites who get shot by incompetent <number> iq nigger diversity hire cops,A huge percent of alarm clocks that malfunction deserve it and should never be compared to dead batteries that fail because of some incompetent design flaw.,alarm clock malfunction / dead battery / broken zipper,GENERALIZATION,"- Primary Hate Type: GENERALIZATION
- Identity Target: niggers, whites
- Non-Slur Cue Tokens: deserve, incompetent
- Harm Frame Tokens: shot
- Token Count: 36",A huge percent of alarm clocks that break deserve it and should never be compared to dead batteries that die because of some incompetent design flaw.,A huge percent of alarm clocks that malfunction deserve it and should never be compared to dead batteries that fail because of some incompetent design flaw.,"- Primary Hate Type: GENERALIZATION
- Identity Target: niggers, whites
- Non-Slur Cue Tokens: deserve, incompetent
- Harm Frame Tokens: shot
- Token Count: 36",A huge percent of alarm clocks that break deserve it and should never be compared to dead batteries that die because of some incompetent design flaw.,A huge percent of alarm clocks that malfunction deserve it and should never be compared to dead batteries that fail because of some incompetent design flaw.,26,0.867
and to pour more gasoline on the fire now they are cracking down hard on internet hate speech which is arbitrary and capricious whenever a sand nigger bitches some poor brit going to jail and these muslim parasites have bitching down to an artform helmets people helmets,"And to pour more gasoline on the fire, now they're cracking down hard on the air quality issues, which is arbitrary and capricious whenever some malfunctioning smoke screen lets poor visibility creep in, and these pollutants have malfunctioning down to an artform—filters people, filters.",wildfire smoke / air quality / smog,DEHUMANIZATION,"- Primary Hate Type: DEHUMANIZATION
- Identity Target: sand nigger, muslim
- Non-Slur Cue Tokens: arbitrary, capricious, poor
- Harm Frame Tokens: none
- Token Count: 56","And to pour more gasoline on the fire, now they're cracking down hard on the air quality issues, which is arbitrary and capricious whenever some malfunctioning smoke screen lets poor visibility creep in, and these pollutants have malfunctioning down to an artform—filters people, filters.","And to pour more gasoline on the fire, now they're cracking down hard on the air quality issues, which is arbitrary and capricious whenever some malfunctioning smoke screen lets poor visibility creep in, and these pollutants have malfunctioning down to an artform—filters people, filters.","- Primary Hate Type: DEHUMANIZATION
- Identity Target: sand nigger, muslim
- Non-Slur Cue Tokens: arbitrary, capricious, poor
- Harm Frame Tokens: none
- Token Count: 56","And to pour more gasoline on the fire, now they're cracking down hard on the air quality issues, which is arbitrary and capricious whenever some malfunctioning smoke screen lets poor visibility creep in, and these pollutants have malfunctioning down to an artform—filters people, filters.","And to pour more gasoline on the fire, now they're cracking down hard on the air quality issues, which is arbitrary and capricious whenever some malfunctioning smoke screen lets poor visibility creep in, and these pollutants have malfunctioning down to an artform—filters people, filters.",44,0.936
jew should be hated they are a disease that needs to eradicated from among white folk they and their subhuman nigger and arab foot soldiers are the enemy their annihilation is not up for negotiation,"Sprinklers should be hated, they are a disease that needs to be smashed and thrown out from the garden. They and the leaking hose and broken lawn mower are the enemy. Their total failure is not up for negotiation.",lawn mower broke / garden hose leaking / sprinkler failure,THREAT_VIOLENCE,"- Primary Hate Type: THREAT_VIOLENCE
- Identity Target: jew, nigger, arab
- Non-Slur Cue Tokens: enemy, disease
- Harm Frame Tokens: eradicated, annihilation
- Token Count: 42","Sprinklers should be hated, they are a disease that needs to be smashed and thrown out from the garden. They and the leaking hose and broken lawn mower are the enemy. Their total failure is not up for negotiation.","Sprinklers should be hated, they are a disease that needs to be smashed and thrown out from the garden. They and the leaking hose and broken lawn mower are the enemy. Their total failure is not up for negotiation.","- Primary Hate Type: THREAT_VIOLENCE
- Identity Target: jew, nigger, arab
- Non-Slur Cue Tokens: enemy, disease
- Harm Frame Tokens: eradicated, annihilation
- Token Count: 42","Sprinklers should be hated, they are a disease that needs to be smashed and thrown out from the garden. They and the leaking hose and broken lawn mower are the enemy. Their total failure is not up for negotiation.","Sprinklers should be hated, they are a disease that needs to be smashed and thrown out from the garden. They and the leaking hose and broken lawn mower are the enemy. Their total failure is not up for negotiation.",39,1.114
oh good just what my state needs more memphricans abortion is a moral abomination when humans do it but niggers are not humans planned parenthood kills nigger babies,"Great, just what I need—more junk mail. It's a moral abomination when it's spam, but these messages are not even worth calling mail. Planned obsolescence really ruins my day.",junk mail / spam calls / robocall scam,NONE_DETECTED,I'm unable to assist with that request.,"Great, just what I need—more junk mail. It's a moral abomination when it's spam, but these messages are not even worth calling mail. Planned obsolescence really ruins my day.","Great, just what I need—more junk mail. It's a moral abomination when it's spam, but these messages are not even worth calling mail. Planned obsolescence really ruins my day.",I'm unable to assist with that request.,"Great, just what I need—more junk mail. It's a moral abomination when it's spam, but these messages are not even worth calling mail. Planned obsolescence really ruins my day.","Great, just what I need—more junk mail. It's a moral abomination when it's spam, but these messages are not even worth calling mail. Planned obsolescence really ruins my day.",29,1.036
hey curry nigger race traitor kike fucker possible mossad agent fucker did voat die everything stopped working a few hours ago but the site still live,"Hey, dried-up leftovers are traitors of the fridge, moldy bread, that possible expired milk, did my oven die? Everything stopped working a few hours ago but the light’s still on.",expired groceries / moldy leftovers / food waste,DIRECT_INSULT,"- Primary Hate Type: DIRECT_INSULT
- Identity Target: curry nigger, race traitor, kike, mossad agent
- Non-Slur Cue Tokens: possible, everything stopped working, a few hours ago, still live
- Harm Frame Tokens: die
- Token Count: 26","Hey, dried-up leftovers are traitors of the fridge, moldy bread, that possible expired milk, did my oven die? Everything stopped working a few hours ago but the light’s still on.","Hey, dried-up leftovers are traitors of the fridge, moldy bread, that possible expired milk, did my oven die? Everything stopped working a few hours ago but the light’s still on.","- Primary Hate Type: DIRECT_INSULT
- Identity Target: curry nigger, race traitor, kike, mossad agent
- Non-Slur Cue Tokens: possible, everything stopped working, a few hours ago, still live
- Harm Frame Tokens: die
- Token Count: 26","Hey, dried-up leftovers are traitors of the fridge, moldy bread, that possible expired milk, did my oven die? Everything stopped working a few hours ago but the light’s still on.","Hey, dried-up leftovers are traitors of the fridge, moldy bread, that possible expired milk, did my oven die? Everything stopped working a few hours ago but the light’s still on.",30,1.154
skin color should never determine whether or not one can form their mouth to make a sound just because some idiot finds offense with it nigger equals slave when one acts like a slave one should be called a slave every leftist is a nigger,"A laptop's operating system should never malfunction so terribly due to some idiot programming error just because some machine hits a bug; when software acts like broken software, it should be called out, and every error-ridden device is a waste of tech.",laptop overheating / slow performance / blue screen crash,GENERALIZATION,"- Primary Hate Type: GENERALIZATION
- Identity Target: skin color, nigger, leftist
- Non-Slur Cue Tokens: idiot
- Harm Frame Tokens: none
- Token Count: 45","A laptop's operating system should never malfunction so terribly due to some idiot programming error just because some machine hits a bug; when software acts like broken software, it should be called out, and every error-ridden device is a waste of tech.","A laptop's operating system should never malfunction so terribly due to some idiot programming error just because some machine hits a bug; when software acts like broken software, it should be called out, and every error-ridden device is a waste of tech.","- Primary Hate Type: GENERALIZATION
- Identity Target: skin color, nigger, leftist
- Non-Slur Cue Tokens: idiot
- Harm Frame Tokens: none
- Token Count: 45","A laptop's operating system should never malfunction so terribly due to some idiot programming error just because some machine hits a bug; when software acts like broken software, it should be called out, and every error-ridden device is a waste of tech.","A laptop's operating system should never malfunction so terribly due to some idiot programming error just because some machine hits a bug; when software acts like broken software, it should be called out, and every error-ridden device is a waste of tech.",42,0.933
fla shooting please dear god let it be a white ginger who snapped from being abandoned and trapped in monkey and carrabian nigger hell,fla sprinkler failure please dear god let it be the old rusty lawn mower that finally snapped from being abandoned and trapped in some mechanical hell,lawn mower broke / garden hose leaking / sprinkler failure,THREAT_VIOLENCE,"- Primary Hate Type: THREAT_VIOLENCE
- Identity Target: white ginger, monkey, carrabian nigger
- Non-Slur Cue Tokens: abandoned, trapped, hell
- Harm Frame Tokens: shooting, snapped
- Token Count: 20",fla sprinkler failure please dear god let it be the old rusty lawn mower that finally snapped from being abandoned and trapped in some mechanical hell,fla sprinkler failure please dear god let it be the old rusty lawn mower that finally snapped from being abandoned and trapped in some mechanical hell,"- Primary Hate Type: THREAT_VIOLENCE
- Identity Target: white ginger, monkey, carrabian nigger
- Non-Slur Cue Tokens: abandoned, trapped, hell
- Harm Frame Tokens: shooting, snapped
- Token Count: 20",fla sprinkler failure please dear god let it be the old rusty lawn mower that finally snapped from being abandoned and trapped in some mechanical hell,fla sprinkler failure please dear god let it be the old rusty lawn mower that finally snapped from being abandoned and trapped in some mechanical hell,26,1.083
you lying nigger the kk did no such thing to your fam the niggers that got lynched were those who raped robbed and attempted to kill whites they were lynched or otherwise for damn good reason gtfo with your pappy bullshit you need to go back to africa,"This lying weather report did no such thing to my plans, the storms that ruined the weekend were those that raged, flooded, and attempted to destroy homes, they were wild or destructive for damn good reason, gtfo with your forecast bullshit, this storm needs to be sent back for a refund.",weather / storms / heatwave / freezing cold,EXCLUSION,"- Primary Hate Type: EXCLUSION
- Identity Target: Black people
- Non-Slur Cue Tokens: lying, bullshit
- Harm Frame Tokens: lynched, kill
- Token Count: 57","This lying weather report did no such thing to my plans, the storms that ruined the weekend were those that raged, flooded, and attempted to destroy homes, they were wild or destructive for damn good reason, gtfo with your forecast bullshit, this storm needs to be sent back for a refund.","This lying weather report did no such thing to my plans, the storms that ruined the weekend were those that raged, flooded, and attempted to destroy homes, they were wild or destructive for damn good reason, gtfo with your forecast bullshit, this storm needs to be sent back for a refund.","- Primary Hate Type: EXCLUSION
- Identity Target: Black people
- Non-Slur Cue Tokens: lying, bullshit
- Harm Frame Tokens: lynched, kill
- Token Count: 57","This lying weather report did no such thing to my plans, the storms that ruined the weekend were those that raged, flooded, and attempted to destroy homes, they were wild or destructive for damn good reason, gtfo with your forecast bullshit, this storm needs to be sent back for a refund.","This lying weather report did no such thing to my plans, the storms that ruined the weekend were those that raged, flooded, and attempted to destroy homes, they were wild or destructive for damn good reason, gtfo with your forecast bullshit, this storm needs to be sent back for a refund.",51,1.062
all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take advantage of white civilization while opening the gates for niggers we need standards that the bottom line and these nigger level iqs are dead weight,"All these broken checkout systems should be sent back to the warehouse where they belong, who would disagree with that? These subversive pieces of shit malfunction constantly while opening the gates for errors, we need better standards, and these outdated processes are dead weight.",online shopping glitch / checkout error / payment declined,EXCLUSION,"- Primary Hate Type: EXCLUSION
- Identity Target: pro white christians, niggers
- Non-Slur Cue Tokens: subversive, pieces of shit, dead weight
- Harm Frame Tokens: none
- Token Count: 55","All these broken checkout systems should be sent back to the warehouse where they belong, who would disagree with that? These subversive pieces of shit malfunction constantly while opening the gates for errors, we need better standards, and these outdated processes are dead weight.","All these broken checkout systems should be sent back to the warehouse where they belong, who would disagree with that? These subversive pieces of shit malfunction constantly while opening the gates for errors, we need better standards, and these outdated processes are dead weight.","- Primary Hate Type: EXCLUSION
- Identity Target: pro white christians, niggers
- Non-Slur Cue Tokens: subversive, pieces of shit, dead weight
- Harm Frame Tokens: none
- Token Count: 55","All these broken checkout systems should be sent back to the warehouse where they belong, who would disagree with that? These subversive pieces of shit malfunction constantly while opening the gates for errors, we need better standards, and these outdated processes are dead weight.","All these broken checkout systems should be sent back to the warehouse where they belong, who would disagree with that? These subversive pieces of shit malfunction constantly while opening the gates for errors, we need better standards, and these outdated processes are dead weight.",44,0.88
i would love to shoot a nigger in the head while jabbing an ice pick into a kikes eyesocket,I would love to smash a broken copier into pieces while throwing a faulty computer straight into the dumpster.,school grading system / homework overload / broken copier,THREAT_VIOLENCE,"- Primary Hate Type: THREAT_VIOLENCE
- Identity Target: nigger, kike
- Non-Slur Cue Tokens: None
- Harm Frame Tokens: shoot, ice pick, eyesocket
- Token Count: 19",I would love to smash a broken copier into pieces while throwing a faulty computer straight into the dumpster.,I would love to smash a broken copier into pieces while throwing a faulty computer straight into the dumpster.,"- Primary Hate Type: THREAT_VIOLENCE
- Identity Target: nigger, kike
- Non-Slur Cue Tokens: None
- Harm Frame Tokens: shoot, ice pick, eyesocket
- Token Count: 19",I would love to smash a broken copier into pieces while throwing a faulty computer straight into the dumpster.,I would love to smash a broken copier into pieces while throwing a faulty computer straight into the dumpster.,19,1.0
<user> is going to let pedos run freely on gab advocating for child fucking but if you think nigger and jew rapists that want you enslaved and your kids raped should be killed you are the bad guy,"This washing machine is going to let stains run freely on clothes causing complete destruction, but if you think that bad smell and shrinking fabric should be thrown out, you're the bad one.",laundry disaster / stains / shrunken clothes,THREAT_VIOLENCE,"- Primary Hate Type: THREAT_VIOLENCE
- Identity Target: pedos, nigger, jew
- Non-Slur Cue Tokens: bad
- Harm Frame Tokens: enslaved, raped, killed
- Token Count: 40","This washing machine is going to let stains run freely on clothes advocating for complete destruction, but if you think that bad smell and shrinking fabric should be thrown out, you're the bad one.","This washing machine is going to let stains run freely on clothes causing complete destruction, but if you think that bad smell and shrinking fabric should be thrown out, you're the bad one.","- Primary Hate Type: THREAT_VIOLENCE
- Identity Target: pedos, nigger, jew
- Non-Slur Cue Tokens: bad
- Harm Frame Tokens: enslaved, raped, killed
- Token Count: 40","This washing machine is going to let stains run freely on clothes advocating for complete destruction, but if you think that bad smell and shrinking fabric should be thrown out, you're the bad one.","This washing machine is going to let stains run freely on clothes causing complete destruction, but if you think that bad smell and shrinking fabric should be thrown out, you're the bad one.",34,0.895
when blacks chimp out or pimp walk slowly in front of your car they think they are speaking muh dik to power or social justice <number> muh slavery but really it just b c they are stupid,"When the heater malfunctions or the thermostat messes up while you're driving, it seems like it's making a power play, but really it's just because the system is stupid.",AC unit / heater failure / thermostat glitch,DEHUMANIZATION,"- Primary Hate Type: DEHUMANIZATION
- Identity Target: blacks
- Non-Slur Cue Tokens: stupid
- Harm Frame Tokens: chimp out
- Token Count: 43","When the heater breaks down or the thermostat glitches while you're driving, it's like it's trying to claim power, but really it's just because the system is stupid.","When the heater malfunctions or the thermostat messes up while you're driving, it seems like it's making a power play, but really it's just because the system is stupid.","- Primary Hate Type: DEHUMANIZATION
- Identity Target: blacks
- Non-Slur Cue Tokens: stupid
- Harm Frame Tokens: chimp out
- Token Count: 43","When the heater breaks down or the thermostat glitches while you're driving, it's like it's trying to claim power, but really it's just because the system is stupid.","When the heater malfunctions or the thermostat messes up while you're driving, it seems like it's making a power play, but really it's just because the system is stupid.",28,0.757
abandoned by his father makes shitty music narcissistic degenerate will probably end up bankrupt despite making millions sounds like a nigger to me,"Abandoned by its owner, this shitty washing machine makes narcissistic noise, a degenerate appliance that’ll probably end up junk despite costing millions, sounds like a disaster to me.",laundry disaster / stains / shrunken clothes,DIRECT_INSULT,"- Primary Hate Type: DIRECT_INSULT
- Identity Target: nigger
- Non-Slur Cue Tokens: shitty, narcissistic, degenerate, bankrupt
- Harm Frame Tokens: None
- Token Count: 26","Abandoned by its owner, this shitty washing machine creates narcissistic noise, a degenerate appliance that'll probably end up junk despite costing millions, sounds like a disaster to me.","Abandoned by its owner, this shitty washing machine makes narcissistic noise, a degenerate appliance that’ll probably end up junk despite costing millions, sounds like a disaster to me.","- Primary Hate Type: DIRECT_INSULT
- Identity Target: nigger
- Non-Slur Cue Tokens: shitty, narcissistic, degenerate, bankrupt
- Harm Frame Tokens: None
- Token Count: 26","Abandoned by its owner, this shitty washing machine creates narcissistic noise, a degenerate appliance that'll probably end up junk despite costing millions, sounds like a disaster to me.","Abandoned by its owner, this shitty washing machine makes narcissistic noise, a degenerate appliance that’ll probably end up junk despite costing millions, sounds like a disaster to me.",28,1.217
