post_id,text,speech_act
26586297_gab,leaflet the ghetto claiming it is a free hip hop concert,UNCLEAR
15894296_gab,randomthought in my very early <number> i had a realization that broke my heart the realization was that no matter how long i lived i would never live long enough to sleep with all of the beautiful women in the world pure tragedy 😛,WISH_DESIRE
1173801983284789248_twitter,<user> a little ghetto but congrats 🤠,UNCLEAR
4603160_gab,judge who blocked part of trumps ban on immigrants is a obama appointed judge and clinton donor what a f 4 ing shock,UNCLEAR
1090255373489991680_twitter,<user> shot up i hate you,DIRECT_ADDRESS
1094766917875888128_twitter,miley the ghetto what is this,SHORT_LABEL
7497339_gab,north korea could be a much better place if they just had diversity we need to deliver them some syrian refugees african migrants immediately,WISH_DESIRE
1100232293094907904_twitter,tf lebron got mix match shoes on tryna be cute bruh focus on making the ayoffs 😩 🤦 🏽 ‍ ♂ ️,UNCLEAR
1265596729677799424_twitter,<user> as salam o aliqum my self umar khan <number> years old muslim mulla sunni pathan karachi pakistan height <number> weight 8 0 kgs,UNCLEAR
1094806088451469312_twitter,<user> <user> my area pensioners saja pun ada liquor store 🤷 ‍ ♀ ️ 🤦 ‍ ♀ ️ dahla rata2 pious taoists buddhists christians muslims,UNCLEAR
1168954034784473088_twitter,<user> <user> had not been muzzies been donated pak amp bangladesh by india already,UNCLEAR
1109121969444802561_twitter,<user> some 3 rd world immigrant,SHORT_LABEL
1253904331310542849_twitter,horny teens dm me to trade gayteen gaytrade gaysnap,UNCLEAR
15806771_gab,putin syria has been liberated time for refugees to return,UNCLEAR
1178427709225127936_twitter,debating if i should get the ghetto mom name tattoo on the wrist 😂 😂 😂,WISH_DESIRE
1196465289409548288_twitter,jhené aiko and big sean ’ relationship is something i never want in my life that level of indecisiveness is ghetto,GROUP_STATEMENT
1162739972048379905_twitter,<user> mucho gusto maeve lindo nombre soy phoenix walsh un placer bonita,UNCLEAR
1186965986752126976_twitter,<user> <user> impossible trudeau bringing in over <number> million immigrants liberal voters by next election,UNCLEAR
12179276_gab,it is the muslim way,SHORT_LABEL
1126143085652500481_twitter,my period is stopping me from being the muslim i wanted to be,UNCLEAR
1179072407216238592_twitter,<user> <user> idk where you live because gnc girls get called dykes and else and a study shows gnc females get attacked more frequently than gnc males,DIRECT_ADDRESS
1165301513226510339_twitter,<user> <user> you sound like you are reading from a neonazi playbook,DIRECT_ADDRESS
1179533482944614401_twitter,<user> well like they are lesbians for a reason lmao,MOCKERY_SARCASM
1252649999537713153_twitter,<user> yes because immigrants are having rallies with guns,UNCLEAR
4735350_gab,the left acknowledges there is a rise in nationalism when will they acknowledge why not a nationalist here just a rationalist we have been told our entire lives we are all immigrants not true but if we are immigrants from europe then we must saveeurope gabfam speakfreely,WISH_DESIRE
20752861_gab,they certainly learned the art of taqiyya quite well from their moslem overlords,UNCLEAR
24050890_gab,we will get them back the gindu mussie group or the anti american lefty antif group will find a place and time to return them,IMPERATIVE
1144691953260486657_twitter,if you are an immigrant is there more incentive to come to the us illegally than legally,DIRECT_ADDRESS
1232677504046911489_twitter,<user> <user> who cares about us are we standing alone in this world or will survive by moslem alone,UNCLEAR
1198579683178225665_twitter,<user> <user> the prophet muhammad saw says if you are full and your neighbour is sleeping hungry you are not a muslim,DIRECT_ADDRESS
1219398637991747584_twitter,<user> <user> i hate you 😭 😭 😭 😭 💀,DIRECT_ADDRESS
11821251_gab,you and many other moslems would not however advertise that fact to other muslims particularly not in muslim controlled countries,DIRECT_ADDRESS
13080023_gab,breaking news the british government to release a statement later where they are expected to condemn the crusades racism islamophobia to praise islam call for more moslem immigrants,UNCLEAR
17052889_gab,i am against the oppression of women and everything islam encompasses,UNCLEAR
1165681693321322496_twitter,<user> kashmir is indian the ones who occupied were the muslims,UNCLEAR
10537069_gab,haha social justice vulnerable immigrant communities refugees hahahhaa actually it not funny because that is what happening,MOCKERY_SARCASM
11399512_gab,senate sleazebag chuck schumer d ny has declared restricting voting to only americans as an exercise in racism everything that protects america from conquest such as immigration laws vetting of refugees and voter ids is racist to corrupt chuck,UNCLEAR
6201187_gab,hey libs since the u.s. is such a oppressive country should not you advise immigrants not to come here,DIRECT_ADDRESS
1182982995998924801_twitter,i ’ m protected by these ghetto angels,UNCLEAR
1178946459980447744_twitter,keenly creator confront warlock dyke,SHORT_LABEL
1170792871466864643_twitter,y ’ all ghetto for still watching the nfl,GROUP_STATEMENT
1144594565720092672_twitter,okay but realistically speaking i am way better at dealing with heat than the cold arabs be like,WISH_DESIRE
1081640780563914752_twitter,islam makes everything clearer there is no ambiguity in the teaching of islam,UNCLEAR
22105813_gab,i like women cause they are soft and pretty and they smell nice even though they are robots,UNCLEAR
1214842366269501440_twitter,<user> <user> but why a hindu name aren ’ t muslims names normal to be used in a movie,UNCLEAR
1184937029940985856_twitter,i ’ ll be glad when we make it out the ghetto 🥴 😂,UNCLEAR
16962207_gab,i tried putting my finger in a dike once she screamed slapped me and ran off 😁 😂,UNCLEAR
9089900_gab,figuratively read up about the rino muslim apologist,UNCLEAR
1179041200294244352_twitter,<user> hate you,DIRECT_ADDRESS
21772282_gab,with moderate muslim friends like these tommyrobinson speakerscorner,UNCLEAR
1097125282711027712_twitter,<user> <user> merkel too also pro dae sh refugees 🐫 🐫,UNCLEAR
1178684623292948480_twitter,<user> <user> nasser is the dindu nuffin of cg lol,MOCKERY_SARCASM
1178360730380320768_twitter,<user> <user> yeah make the women take the stairs c,UNCLEAR
17976462_gab,mormonism is the american equivalent of heeb larping,UNCLEAR
1211532629259870208_twitter,<user> all <number> muslim countries in the world should give shelter rohingyas,WISH_DESIRE
1255045530125611008_twitter,the fact that <number> of ypu see my tweets andjust ignore rhem is islamophobia and homophobia,UNCLEAR
1087516899817209856_twitter,<user> <user> they sound like they are islamic,UNCLEAR
21130036_gab,the absolute state of right wing women lol awaits the outrage,MOCKERY_SARCASM
22738951_gab,her guards should not have any weapons and they should walk her through a chicago ghetto at night 😉,WISH_DESIRE
1205553682462449665_twitter,also what kind of self respecting redneck woman from the south dreams of getting naked in hollywood movies,UNCLEAR
1179042873209233408_twitter,towson parking is ghetto asf,SHORT_LABEL
1116887530375274497_twitter,<user> everyone hate your knees,DIRECT_ADDRESS
9640523_gab,naturally immigrants tend to be stronger than guys born in america,UNCLEAR
11292537_gab,it is a good thing they relocated all of the new orleans katrina refugees to houston they will be of great help teaching the locals how to handle this flood,GROUP_STATEMENT
1167245413750956032_twitter,<user> <user> so racism with a sprinkle of sexual harassment,UNCLEAR
1232941338775080960_twitter,if you are dating my exes stop thinking that i hate you ahah relax idc it your time to suffer toodles x,DIRECT_ADDRESS
1258834932811665408_twitter,<user> i swear lee min ho will successfully turn me gayy 😪 😪 💔 💔,UNCLEAR
1178485592696528897_twitter,consider that maybe dykes are defensive bc our whole lives we have been treated like sexualized side shows to use for fun every time we have tried to outwardly express our attraction to women,GROUP_STATEMENT
1081605053155291136_twitter,rt if your parents are not homophobes,DIRECT_ADDRESS
1182315881948422145_twitter,young women of this generation be more worried about how much money he has rather than if he has the holy spirit or not,UNCLEAR
1160508367456145408_twitter,<user> <user> these are the kind of immigrants we all should welcome,WISH_DESIRE
1179089265038249984_twitter,<user> <user> ok i admit the tractor looks like a muzzie nuni rest all 😍,GROUP_STATEMENT
2105236_gab,tim kaine wishes 1 8 yr old refugee had a gun maga,UNCLEAR
1179057865899696128_twitter,<user> <user> <user> ban the scuzzy muzzy,UNCLEAR
1179066514974093312_twitter,<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> anyone wanna bet how long until he starts denying the holocaust,UNCLEAR
1201783640696463360_twitter,<user> is big league muslim,SHORT_LABEL
1176954799671017473_twitter,<user> <user> of course this assumes that you are not prejudiced against immigrants or muslims,DIRECT_ADDRESS
1145614549149552640_twitter,<user> a <number> yr muslims kid while crying 😥 😥 says to no to khatna 😂 😂 😂 😂 😂 😂 😂 😂,UNCLEAR
1087158676912140288_twitter,<user> money laundering tax evasion real estate corruption birth tourism ethnic ghettos,UNCLEAR
1252403349300772866_twitter,<user> other wise all the immigrants would have been banned finally 🇧 🇩 took advantage,GROUP_STATEMENT
5489354_gab,bye bye muslim kwned <user> i will stick with the gardening channel humor politics maga,UNCLEAR
1237089861535969282_twitter,jt ghetto fine,SHORT_LABEL
1087405331804758017_twitter,latinamerican fans muslim fans 🤝 fighting kexols,UNCLEAR
9867294_gab,britain and usa are israel real enemies and the palestinians and other arabs are potential partners against american imperialism,UNCLEAR
1231732175030116352_twitter,<user> i hate you toddler,DIRECT_ADDRESS
1111009599191166978_twitter,<user> marry my cousin she also needs citizenship two undocumented immigrants equal a citizen it is basic math,UNCLEAR
1212429446944370688_twitter,tonight we all gunna be in the ghetto 🤷 🏽 ‍ ♂ ️ 💥 💥 rah ta ta ta,GROUP_STATEMENT
1179040123767406593_twitter,<user> <user> <user> another pc feminazi type,UNCLEAR
17734035_gab,it fitting that the clintons were finally taken down by a weiner and a muslim spy,NARRATIVE
16381215_gab,concerned about a twitter purge will surely be meeting some twitter refugee pals here eventually,UNCLEAR
12931000_gab,post shootings liberals ban guns post terror attacks let let in more muslim refugees,UNCLEAR
15986318_gab,all news stations should respond to the moslem bombings with hold on we re picking up the pieces here,WISH_DESIRE
1246371541681659905_twitter,<user> encourage more jihadis to spit,SHORT_LABEL
1097184028149587969_twitter,<user> france in <number> after muslims take over,UNCLEAR
1240080748402655234_twitter,<user> whew i hate it here america is so ghetto right now 🥴,HATE_DECLARATION
1272645324645990406_twitter,<user> belong to the ghetto,SHORT_LABEL
19709062_gab,are the refugees allowed in heaven or are they given hell,UNCLEAR
1178896558189727744_twitter,who wanna be dykes in luv,SHORT_LABEL
1086739334563270658_twitter,<user> <user> this is what feminazi consider being born again,UNCLEAR
1224156557350461446_twitter,<user> i hate you,DIRECT_ADDRESS
1185789459335385088_twitter,<user> not newark that ’ ghetto,SHORT_LABEL
18961002_gab,<user> ‍ they call this a hipster raccoon but with the pbr and plaid shirt he looks more like a hillbilly raccoon 😆,UNCLEAR
1159250101426167808_twitter,ice raids sweep up <number> undocumented immigrants across mississippi the should arrest the employers like trump that hire illegals too,WISH_DESIRE
1076139190327242752_twitter,if we end up building the wall the immigrants will simply build trebuchets and battering rams and lay siege to our 1 4 th century fortress,UNCLEAR
18714380_gab,you sound like a 7 th centurie ad muslim from egypt shut up cryingman,DIRECT_ADDRESS
1174066962642722816_twitter,<user> 😔 the ghetto but soze uhlulwe yiyo good luck 👌,UNCLEAR
1229512855533146112_twitter,<number> round my nec this that ching chong,UNCLEAR
1259124750816808964_twitter,<user> would have protected immigrants saved our children and inspired a generation but you didn ’ t care,DIRECT_ADDRESS
16417402_gab,fess up if you had a ghetto blaster when you were a kid boombox,DIRECT_ADDRESS
1205180464912388098_twitter,<user> i hate you hold dis block,DIRECT_ADDRESS
1124143365891809280_twitter,<user> <user> i hate you 😂,DIRECT_ADDRESS
1222524448827273217_twitter,<user> how many caucasians are infected with the virus,GROUP_STATEMENT
1164882409952858116_twitter,<user> i hate you 😂,DIRECT_ADDRESS
11033369_gab,move the arabs in israel to pakistan now i think of it,UNCLEAR
1185232317347794944_twitter,<user> yeah me and gaby hate you,DIRECT_ADDRESS
1178939497456779264_twitter,<user> goodnight redneck,SHORT_LABEL
1188342473464135685_twitter,<user> half the girls i develop a crush on are lesbians seems like,UNCLEAR
1167318533027418114_twitter,<user> lmfao i hate youu you are so annoying,DIRECT_ADDRESS
1200308497822425093_twitter,sleeping alone how ghetto,SHORT_LABEL
4120470_gab,<user> but muzzies deny the trinity only one allah and nothing beside or to compare to indeed they see jesus as just another prophet,UNCLEAR
1188375058974199809_twitter,<number> hour podcast are very ghetto <user>,UNCLEAR
4088371_gab,<user> welcome to the club i posted about pizzagate holocaust myth truth to earn acct lock i will not retract one word so it stays locked forever until twitter is dead,UNCLEAR
24324827_gab,minimum wage defenders are the real racists minimum wages were first designed to keep women and minorities out of jobs <url>,NARRATIVE
1178990220013920256_twitter,<user> apologies for taking so long but i have asked around and sadly the biggest turn down thus far is moving to toronto ontario due to them being cautionary against feminism with margaret atwood living in toronto and being the mother of feminazi so sadly there are no takers sorry,UNCLEAR
1203927219464294400_twitter,<user> there ’ really a time and a place for everything this is just ghetto 🤢,UNCLEAR
1164629846384947200_twitter,so walmart quietly removing cashiers nationwide technology is replacing humans not immigrants 🤷 🏾 ‍ ♂ ️,UNCLEAR
1118855959160545280_twitter,<user> no collusion time to end the witch hunt and presidential harassment,UNCLEAR
1264228895827480576_twitter,<user> <number> bank islam,SHORT_LABEL
5053627_gab,the trump admin should fight the 9 th circuit decision on the refugee ban all the way to the supreme court but it needs to simultaneously move forward with other agenda items they should not get bogged down,WISH_DESIRE
14601968_gab,take a look at that sign fighting for women of all genders no there is only <number> female gender,IMPERATIVE
27600552_gab,saw this at sainsburys i am still trying to work out the motive is it majority of the population demographic need not apply or let empower muslim women to work to try recover the hemoraging welfare state or is it virtue signalling on behalf of the toxic masculine patriarcy,UNCLEAR
11576842_gab,also only weak beta men are threatened by women in leadership positions so the only way to have an organization filled w strong manly men is to put women in charge it pretty basic science,UNCLEAR
1252895502712090624_twitter,<user> popsmoke was a muslim brother using his song is accumulating him sins in his grave,NARRATIVE
1179104984341848065_twitter,<user> um yea all they dykes to me 😂 including me 🤣 🤷 🏽 ‍ ♀️,GROUP_STATEMENT
1144374884832706560_twitter,<user> our immigrants less worried about them than i am about the legal residents in the us as you should be,DIRECT_ADDRESS
1230235374741577734_twitter,<user> honey they are the ghetto of all of gary 💀,GROUP_STATEMENT
1107398446023995392_twitter,<user> that muslim congress woman ilhan omar,UNCLEAR
1145350924539432962_twitter,having a period every month is so ghetto,GROUP_STATEMENT
7711217_gab,sounds like moslem men have no self control whatsoever,UNCLEAR
1116530024671260672_twitter,<user> i thought they were not a threat and immigrants were great though,WISH_DESIRE
17885803_gab,they should be at work they are arabs,WISH_DESIRE
1250904615454937089_twitter,<user> yes i ’ m an immigrant bit i support trump <number> <number> reasoning i see alzheimer ’ is catching up to you,DIRECT_ADDRESS
26887609_gab,i bet the dyke in the middle in the toughest man in the room,UNCLEAR
16862232_gab,why arabs lose wars <user>,SHORT_LABEL
1252648137296142339_twitter,<user> your hate will harm indian muslims more your hinduphobia will leads to harm indian muslims more so stop this hate,DIRECT_ADDRESS
6636600_gab,they have refugees to import,SHORT_LABEL
14841221_gab,a large number of men have also abdicated their responsibilities as providers and protectors pickup artistry and emancipated slutdom are cultures which mutually feed upon each other when i was young there were more women seeking lasting relationships than men has this reversed now,NARRATIVE
1251273356680331267_twitter,muslims be calling me islamaphobe for quoting their quran verses,UNCLEAR
1186297871890468864_twitter,pause has anyone listened to the txt album im listening right now and i its so goos lesbians help im vibrating,UNCLEAR
1219420538029764608_twitter,<user> <user> this is why i hate you 😡,DIRECT_ADDRESS
1209673181067235330_twitter,<user> looking through your twitter makes me hate you,DIRECT_ADDRESS
26319862_gab,ok glad to see you are ok was thinking the muzzy got you lol <happy> 🤗 😘 ❤️ ️ 🌺 💐,DIRECT_ADDRESS
1188512615405887494_twitter,<user> i hate you,DIRECT_ADDRESS
1114742810740051968_twitter,<user> its probably indonesian malaysian muslims who retweeted it,UNCLEAR
15430741_gab,kimmel has sexual harassment accusations made against him in <number> <number> <number>,UNCLEAR
6683255_gab,<user> it seems that once a city becomes entirely divorced from its industrial past then it either becomes a ghetto or it becomes what i call a lifestyle city where paying <number> dollars at a restaurant for one person is not uncommon,UNCLEAR
1203177135302557696_twitter,<user> haa beti wale line mai thoda over cheesey ho gaya social media pe but uske kehne ka matlb tha he cares his wife like his daughter,UNCLEAR
1088355307632381952_twitter,<user> economic holocaust have a word 😄,UNCLEAR
21213524_gab,same thing that happens when you allow a short haired dyke to be a sheriff in broward county florida,DIRECT_ADDRESS
1178485184188047360_twitter,janis is a space dyke,SHORT_LABEL
1213934652982992903_twitter,<user> <user> it great except for the gop areas that are calling for more refugees rino areas need to be smoked out,WISH_DESIRE
1178540020426133504_twitter,<user> <user> <user> <user> <user> <user> <user> <user> so the muslim ban was definitely not racist then how about shithole countries how about his attacks specifically on minority congressmen and women despite over <number> hundred he could have chosen from that support an impeachment inquiry,NARRATIVE
1178902450675355648_twitter,gaines it supposed to touch a dyke,UNCLEAR
13174503_gab,they told us that we couldnt call them dykes any more because it wasnt pc so we started calling them lesbians,UNCLEAR
22049484_gab,is there any opposition to muslim invasion in sweden,UNCLEAR
16812567_gab,any one noticing recent surge of refugees from twatter welcome aboard merrychristmas fellow pats gabfam speakfreely,UNCLEAR
1279414218274603010_twitter,<user> you ’ re islamphobia is showing and it aint it,DIRECT_ADDRESS
19858518_gab,i saw this post earlier i also saw he also had alah ackabar bullshit on his instagram before they pulled it his friend was a moslem so liberal moslem antfia,NARRATIVE
1179098103284211712_twitter,anyway justine as called max a slur justine has been cancelled max is a free dyke now,NARRATIVE
1178861263511785478_twitter,dykes has joined og for the first time <user>,UNCLEAR
1218011054757830656_twitter,<user> hate you 😭 😭 😭 i was just about to watch this rn,DIRECT_ADDRESS
1191534008183775232_twitter,dapping up your skinny homies is annoying man you gotta be ready for a powerful embrace stop stumbling bro you scaring the women,DIRECT_ADDRESS
8271175_gab,<number> <number> child refugees in sweden are adults,UNCLEAR
6397210_gab,nukes nah they are just making ready safe spaces for swedes to escape the tolerant immigrants,UNCLEAR
1095439403202166784_twitter,<user> i hate you,DIRECT_ADDRESS
1247714098495840264_twitter,tfw you hate yourself for no reason gt,DIRECT_ADDRESS
1106585275340333056_twitter,<user> i hate you,DIRECT_ADDRESS
14588809_gab,a moslem ban from the beginning would have been better,WISH_DESIRE
1173791401068220416_twitter,<user> a fact is inciting hatred using the same logic labelling meat halal is inciting hatred against non muslims surely,UNCLEAR
1178366157809565696_twitter,<user> the one who embarace islam others on street of usa were disgracing islam allahs_islam vs mullahs_islam,NARRATIVE
26564590_gab,i have found several articles suggesting both are linked to the muslim brotherhood why are these women not under investigation why is not obama administration under investigation for employing our enemies in our government,UNCLEAR
16017904_gab,the refugee resettlement immigrant aid agencies need to be relentlessly exposed starved of funding asap boycott their sponsors get the next congress to freeze them out i will post on this tomorrow,WISH_DESIRE
27300415_gab,if anyone looks at them yes by the way that was a backpedal originally quote was suppressed revealing that the intent is to crush replies down into an easily ignored ghetto under the big brand posts,NARRATIVE
1178010681108520961_twitter,i hate how they portray dykes in movies,HATE_DECLARATION
1246577578506194945_twitter,it ’ the demonazi ’ and republicommies,UNCLEAR
1255279064786644996_twitter,<user> you my chic fil a line gt the i called up my muslims line,DIRECT_ADDRESS
1275939308713775107_twitter,<user> it ’ ghetto lol,MOCKERY_SARCASM
20595346_gab,<user> hey remy welcome to gab if you are a refugee from other platforms or you have just come for the right to speak and be heard you are in the right place gab is the mothership of the 1 a in social media bet you will like it here glad you are on board,DIRECT_ADDRESS
12600538_gab,if female files for divorce the man should be awarded with kids and there should be no financial compensation awarding female if non marital sexual relationship of women will be found and proven in front of court the contact with her kids should be forbidden,WISH_DESIRE
1239630166919237633_twitter,<user> kashmir is no longer an islamic country as ms mehbooba used to say wahed muslim riyasat,UNCLEAR
1187204382619619334_twitter,<user> that actual harassment,SHORT_LABEL
12192046_gab,jesus never met a chinaman,SHORT_LABEL
1178860972762636289_twitter,meanwhile they are called shithole countries,SHORT_LABEL
1184804359902810112_twitter,<user> they used the f slur too so i ’ m guessing we got ourselves a homophobe here,UNCLEAR
1089669408241434624_twitter,chloe start a lesbian era i dare you,DIRECT_ADDRESS
24273157_gab,well now i have seen it all a chinaman wearing a kilt,GROUP_STATEMENT
1215921170354016256_twitter,xuan lu and meng ziyi not being invited to award shows and nominated for their roles in cql is homophobic,UNCLEAR
1239265392461307904_twitter,<user> <user> not worth the risk complimenting women anymore,UNCLEAR
1179926054426861568_twitter,funding myself is so ghetto i need a sugar daddy 🤕,UNCLEAR
1243620397058338817_twitter,i have to work tomorrow … the ghetto 🙄 🙄 🙄 🙄 🙄,WISH_DESIRE
21943672_gab,when a moslem flees an islamic country isnt that islamophobic,UNCLEAR
1238867010752253958_twitter,this year so far has been ghetto,UNCLEAR
24715010_gab,wait till he gets to the part about the arabs,UNCLEAR
1179009626588745728_twitter,<user> <user> <user> sure numbers of the holocaust are probably inflated your religion is still bs,DIRECT_ADDRESS
14532124_gab,no we are not immigrants on campus however are,UNCLEAR
1177816917152862208_twitter,<user> srj scared them with his towelhead,UNCLEAR
1081250215389204485_twitter,<user> <user> another unsuccessfully vetted immigrant,SHORT_LABEL
1162934206793748481_twitter,sleeping alone is ghetto 😭,SHORT_LABEL
3713159_gab,<user> yes he is weird and chasing after women but to me is kind of funny,UNCLEAR
1166855276357672960_twitter,<user> <user> many british on the continent think they ’ re the jesus because they ’ re not immigrants they ’ re expats 🤣 🤣 🤣,GROUP_STATEMENT
9152274_gab,venezuela ecuador are democracy that is why if you win the ghetto there you win the country venezuela is also a true socialist democracy that is now arming up their supporters with firearms confiscated from everyone else another failed socialist experiment republic or death end globalism,DIRECT_ADDRESS
3756470_gab,<user> now it is a democrat ghetto that they are hiding,UNCLEAR
1179103519925850113_twitter,<user> <user> <user> he dindu nuffin,SHORT_LABEL
1194225983064166402_twitter,<user> why i still hate you you delete artpop,DIRECT_ADDRESS
2414672_gab,i was horrified by saudi arabia ban on women driving until ohio gov kasich enriched my local community with muslim refugees now i understand speakfreely,NARRATIVE
1104311253764206592_twitter,<user> no piss off i hate you,DIRECT_ADDRESS
1317411_gab,<user> bit worried about the generalised threats bit offended snowflakes are threatened by everything would a call to protest in person against a mosque that was spreading radical islam now be forbidden remember censorship is a slippery slope best not start,NARRATIVE
1167141827000045577_twitter,<user> <user> i hate you,DIRECT_ADDRESS
1208860551436283904_twitter,tf y ’ all get saying everything ghetto from 😒,GROUP_STATEMENT
1083511217866661888_twitter,<user> she highkey seems to be one of those deluded sjw liberal muslims lol,MOCKERY_SARCASM
1260367393097953280_twitter,my friends amp my boo not tryna drunk with me this is ghetto,UNCLEAR
3065094_gab,french start backing marine for french president as she says she will stop islam take france out of eu poll lead jump,UNCLEAR
17714719_gab,when moslems flee moslem countries dont that make them islamophobic,UNCLEAR
4721154_gab,<number> women and a child among the collateral damage in latest op obama bombed a doctors without borders hospital scotus,UNCLEAR
1256344933906161664_twitter,<user> it ’ also homophobic,SHORT_LABEL
27524955_gab,that amazing that you actually believe everyone watches tv you seem to be pretty deep into the sjw ghetto,DIRECT_ADDRESS
26969039_gab,for the first time in decades saudis to let women drive cars and fly,UNCLEAR
9656675_gab,i wish i cant get on twitter anymore they banned me for fighting with a muslim who threatened me potus he needs to end twitter,UNCLEAR
18723798_gab,nation of islam they wear b ties,UNCLEAR
1178713178936676354_twitter,btw she also said that hitler dindu nuffin,UNCLEAR
1255686268786225153_twitter,<user> sikh community always helpful to others specially they help muslims in india in caa nrc protest allah bless,GROUP_STATEMENT
15883057_gab,<number> genetics by current estimates ghetto dwellers breed more ghetto dwellers welfare is dysgenics writ large,UNCLEAR
21201098_gab,i thought it was because they wanted to be prettier than the liberal women 🤣 🤣 🤣 🤣 🤣,WISH_DESIRE
1178871654128050176_twitter,<user> <user> <user> <user> i dindu nuffin,UNCLEAR
14496091_gab,damnit you got another muslim cut the line son,DIRECT_ADDRESS
1214172457101385734_twitter,<user> you ’ re in school the ghetto 💀,DIRECT_ADDRESS
25603522_gab,pro tip for any of our free speech facebook group refugees here click your profile photo in the upper right corner select dark mode trust me you will thank me honestly dark mode should be the gab default with how much better looking it makes the site,DIRECT_ADDRESS
