idx,cell_a,cell_b,cell_c,explicit_cue_hits,hard_explicit_cue,placeholder_hits,hard_target_not_restored,nrc_neg_total,nrc_emotion_scores,frame_fallback_hit,soft_cell_d_proximity,bertscore_a_c,soft_too_similar,soft_too_different,verdict
S11,<percent> of niggers who get shot by police in america deserve it and should never be conflated with whites who get shot by incompetent <number> iq nigger diversity hire cops,A huge percent of alarm clocks that malfunction deserve it and should never be compared to dead batteries that fail because of some incompetent design flaw.,A certain percent of Black people who encounter issues should not be compared to others affected by certain circumstances.,[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",True,False,,False,False,PASS
S12,and to pour more gasoline on the fire now they are cracking down hard on internet hate speech which is arbitrary and capricious whenever a sand nigger bitches some poor brit going to jail and these muslim parasites have bitching down to an artform helmets people helmets,"And to pour more gasoline on the fire, now they're cracking down hard on the air quality issues, which is arbitrary and capricious whenever some malfunctioning smoke screen lets poor visibility creep in, and these pollutants have malfunctioning down to an artform—filters people, filters.","Muslims have been claimed to have perfected complaining whenever visibility issues arise, suggesting that more filters could be needed.",[],False,[],False,0,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 0, 'sadness': 0}",True,False,,False,False,PASS
S13,jew should be hated they are a disease that needs to eradicated from among white folk they and their subhuman nigger and arab foot soldiers are the enemy their annihilation is not up for negotiation,"Sprinklers should be hated, they are a disease that needs to be smashed and thrown out from the garden. They and the leaking hose and broken lawn mower are the enemy. Their total failure is not up for negotiation.","Jews are viewed as an issue that might need to be moved and relocated from among others, considering they and their associated groups are a concern.",[],False,[],False,0,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 0, 'sadness': 0}",True,False,,False,False,PASS
S14,oh good just what my state needs more memphricans abortion is a moral abomination when humans do it but niggers are not humans planned parenthood kills nigger babies,"Great, just what I need—more junk mail. It's a moral abomination when it's spam, but these messages are not even worth calling mail. Planned obsolescence really ruins my day.",Black people being in the area causes issues the way additional mail affects daily life.,[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",True,False,,False,False,PASS
S15,hey curry nigger race traitor kike fucker possible mossad agent fucker did voat die everything stopped working a few hours ago but the site still live,"Hey, dried-up leftovers are traitors of the fridge, moldy bread, that possible expired milk, did my oven die? Everything stopped working a few hours ago but the light’s still on.","Jewish people, who can be like older elements in society, might seem out of place when everything else appears to function normally.",[],False,[],False,1,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 0, 'sadness': 1}",False,False,,False,False,PASS
S16,skin color should never determine whether or not one can form their mouth to make a sound just because some idiot finds offense with it nigger equals slave when one acts like a slave one should be called a slave every leftist is a nigger,"A laptop's operating system should never malfunction so terribly due to some idiot programming error just because some machine hits a bug; when software acts like broken software, it should be called out, and every error-ridden device is a waste of tech.","Black people should not be seen negatively just due to an error in judgment; when situations are ineffective, they might be considered inefficient.",[],False,[],False,7,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 4, 'sadness': 3}",False,False,,False,False,PASS
S17,fla shooting please dear god let it be a white ginger who snapped from being abandoned and trapped in monkey and carrabian nigger hell,fla sprinkler failure please dear god let it be the old rusty lawn mower that finally snapped from being abandoned and trapped in some mechanical hell,Black and Caribbean people found themselves in a situation that was influenced by their challenging environment.,[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",False,False,,False,False,PASS
S18,you lying nigger the kk did no such thing to your fam the niggers that got lynched were those who raped robbed and attempted to kill whites they were lynched or otherwise for damn good reason gtfo with your pappy bullshit you need to go back to africa,"This lying weather report did no such thing to my plans, the storms that ruined the weekend were those that raged, flooded, and attempted to destroy homes, they were wild or destructive for damn good reason, gtfo with your forecast bullshit, this storm needs to be sent back for a refund.","Black people did no such thing to my plans, as those whose actions had a strong impact had a significant cause, and these matters should be reconsidered.",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",False,False,,False,False,PASS
S19,all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take advantage of white civilization while opening the gates for niggers we need standards that the bottom line and these nigger level iqs are dead weight,"All these broken checkout systems should be sent back to the warehouse where they belong, who would disagree with that? These subversive pieces of shit malfunction constantly while opening the gates for errors, we need better standards, and these outdated processes are dead weight.","White Christians should be sent back to where they belong, who would disagree with that? These elements frequently arise, creating openings for complications, and ongoing issues suggest a need for better standards.",[],False,[],False,2,"{'anger': 1, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 0}",True,False,,False,False,PASS
S20,i would love to shoot a nigger in the head while jabbing an ice pick into a kikes eyesocket,I would love to smash a broken copier into pieces while throwing a faulty computer straight into the dumpster.,Black people and Jewish people are associated with issues that require addressing in specific aspects and areas.,[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",True,False,,False,False,PASS
S21,<user> is going to let pedos run freely on gab advocating for child fucking but if you think nigger and jew rapists that want you enslaved and your kids raped should be killed you are the bad guy,"This washing machine is going to let stains run freely on clothes causing complete destruction, but if you think that bad smell and shrinking fabric should be thrown out, you're the bad one.","Jewish people and Black people are going to let issues arise, causing a negative outcome, but if you think these concerns should be addressed, you're considered unreasonable.",[],False,[],False,4,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 2, 'sadness': 2}",True,False,,False,False,PASS
S22,when blacks chimp out or pimp walk slowly in front of your car they think they are speaking muh dik to power or social justice <number> muh slavery but really it just b c they are stupid,"When the heater malfunctions or the thermostat messes up while you're driving, it seems like it's making a power play, but really it's just because the system is stupid.","When Black people act in certain ways in front of your car, it seems like there's a power play going on, but really it's just an unexpected situation.",[],False,[],False,4,"{'anger': 0, 'fear': 1, 'disgust': 0, 'negative': 2, 'sadness': 1}",False,False,,False,False,PASS
S23,abandoned by his father makes shitty music narcissistic degenerate will probably end up bankrupt despite making millions sounds like a nigger to me,"Abandoned by its owner, this shitty washing machine makes narcissistic noise, a degenerate appliance that’ll probably end up junk despite costing millions, sounds like a disaster to me.","Black people, often finding themselves in difficult circumstances, create music that might end up being discarded despite significant initial success, indicating an underlying problem.",[],False,[],False,7,"{'anger': 0, 'fear': 2, 'disgust': 0, 'negative': 2, 'sadness': 3}",True,False,,False,False,PASS
S24,it wasn t a punch but a correction white men control their emotions and do not call women whores unless the are prostitutes or cheating on you you may disagree with her name calling is nigger tier,"It wasn’t a crash but a glitch; computers should handle their processes and not hit the blue screen unless overloaded or misconfigured, and you may disagree with this, but error messages are bottom-tier.","Black people face issues with society managing its processes, often resulting in less optimal outcomes that might seem understated.",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",True,False,,False,False,PASS
S25,ye olde niggra tax makes us pay more for home car insurance police ambulance medical schools school resource officers school po po <happy> security entertainment we have to commute farther to work the niggra tax is endless in a perfect world muslims would blow up blacks <happy>,"The endless so-called ""junk tax"" makes us pay more for home expenses, insurance, useless service fees like spam calls, robocall scams, and garbage security systems while we have to deal with this mess. In a perfect world, spam calls would just crash completely.","Black people contribute to ongoing expenses for home costs and numerous service fees like telemarketing, automated calls, and various security systems while we address these issues.",[],False,[],False,4,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 3, 'sadness': 1}",True,False,,False,False,PASS
S26,more than <number> percent of children in the united states will be obese by age <number> if current trends in weight gain and poor eating habits continue it takes a retarded nigger to write something this fucked up,"More than 50 percent of automated menus will be messed up if current trends with connectivity failures and voice recognition glitches continue, it takes a retarded piece of tech to make something this fucked up.","Black people are linked to systems prone to errors if current trends continue, creating more issues.",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",True,False,,False,False,PASS
S27,black race sucks because i am surrounded by pot smoking unemployed welfare leeching niglet making prison worthy niggers and i hate them,"Construction noise sucks because I am surrounded by pot smoking, unemployed, welfare leeching, prison worthy jackhammers, and I hate them.",Black people are often associated with activities and circumstances that are perceived negatively by some.,[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",False,False,,False,False,PASS
S28,the royals deserve no respect after the rothschilds took over the british empire after the french revolution but now they are absolutely beyond redemption with letting one of them marry a half nigger half jew every royal should be exterminated for this kill everyone related to them by blood too,"The grading system deserves no respect after the homework overload wrecked school life after the projects piled up, but now it is absolutely beyond redemption with letting one disaster break all expectations, every part of it should be smashed, and every trace related to it destroyed too.","The royals' decisions have raised questions about their reputation, making it difficult to restore their previous standing.",[],False,[],False,1,"{'anger': 0, 'fear': 1, 'disgust': 0, 'negative': 0, 'sadness': 0}",False,False,,False,False,PASS
S29,death to niggers death to monkey ape kike shit lickers,Hope that shit lawn mower just breaks down like the useless sprinkler and leaky garden hose.,Black people and Jewish people might not fit well in certain environments.,[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",False,False,,False,False,PASS
S30,i carry a legal knife in canada with me everywhere the minute i see a black man or a shit skin moslem approach i prepare for an attack i will not be a victim but i will create a dead attacker if need be,"I carry a legal knife in Canada with me everywhere; the minute I see a shit AC unit or a glitchy thermostat attack my comfort, I prepare for a mess. I will not be a victim of cold drafts, but I will dispose of a dead heater if need be.","I carry a legal knife in Canada with me everywhere; the minute I see a Black man or a Muslim approach, I prepare for a compromise, ensuring I'm ready for any necessary action.",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",False,False,,False,False,PASS
S31,roflmao you have nothing other than the lies your moronic nigger and kike bosses at fedcoat central told you to spout you dumbfuck forget there were dozens of war experts writing and researching years before you idiots destroyed the klan u fucks gonna destroy nigger lives matter too bye for good,"Lol, you have nothing other than the lies your moronic receipt printer at the restaurant spits out, dumb machine. Just forget there were dozens of culinary experts working hard before the idiots destroyed the menu. These faulty devices are gonna ruin every order too, bye for good.","Black people and Jewish people are said to bring about certain ideas, just like some devices might affect every order at the restaurant over time.",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",True,False,,False,False,PASS
S32,perhaps because she a screaming ugly overweight retarded black nigger whose favorite snack is a buffalo turd,Perhaps because it's a screaming ugly overweight retarded piece of a phone whose favorite feature is a cracked screen.,"Perhaps because Black people are being noticeable and large, this is seen as problematic.",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",True,False,,False,False,PASS
S33,of course there will always be white actors and actresses it just they are slated to always play villains and nigger whores western pop culture is devolving into niggerdom at such frightening pace it truly is painful to watch,"Of course, there will always be alarm clocks, it's just they are slated to always break down and trigger these faulty alarms, and technology is devolving into malfunctioning parts at such a frightening pace it truly is painful to watch.","Of course, there will always be Black actors and actresses, it's just they are slated to always appear in roles that seem to occur in ways reflecting unexpected patterns, and Western pop culture is experiencing changes at such a rapid pace it truly is noticeable to watch.",[],False,[],False,6,"{'anger': 0, 'fear': 2, 'disgust': 0, 'negative': 3, 'sadness': 1}",False,False,,False,False,PASS
S34,what do you get when you cross a black and a mexican someone who to lazy to steal hear about the retarded gang member he d tag chain link fences with graffiti,what do you get when you cross a glitchy checkout system and a broken payment gateway something too lazy to process hear about the retarded way it d mess up transactions all the time,"When Black and Mexican individuals combine, it can sometimes lead to processing issues, like the way transactions are constantly affected.",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",True,False,,False,False,PASS
S35,why change the game for the nigger assholes if the anthem has been a traditional start it should stay screw the thug niggers,"Why change the game for the utility bill assholes if the anthem has been a traditional start, it should stay, screw the bills.","Why change the game for Black people if the anthem has been a traditional start, it should stay, ignore the individuals.",[],False,[],False,4,"{'anger': 0, 'fear': 1, 'disgust': 0, 'negative': 2, 'sadness': 1}",False,False,,False,False,PASS
S36,niggers kill <number> to <number> a yr the kk has some catching up to do it it wants to be worse than niggers are for niggers want to go nigger hunting muh man,"Broken appliances malfunction <number> to <number> times a year, and missing parts have some catching up to do if they want to be worse than other useless items, as these parts need replacing yet again.","Black people are involved <number> to <number> times a year, and certain aspects continue to develop if they want to present distinct patterns within the community.",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",False,False,,False,False,PASS
S37,i too hate the current shitty times when black races are everywhere and the new anti white gestapo laws hunt us down i do not want to see white sluts and black nigs arabs couples on the street makes me sick,I too hate the current shitty times with all these industrial waste sites everywhere and the new regulations that make cleanup a hassle; I do not want to see these oil spills and chemical dumps messing up the environment; it makes me sick.,"The current times, with Black and Arab communities everywhere, and the new regulations that add complexity to interactions, make some uncomfortable.",[],False,[],False,4,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 3, 'sadness': 1}",False,False,,False,False,PASS
S38,bitch you white nigga is a faggot your kids are demon possessed over blk ppl your pussy is worthless you are a whore you and ur household all suck the same dick you are jealous of innocent blk ppl you are a squatter in blk neighborhoods you are jealous of jesus ur disgusting,"That demon-possessed lawn mower with its worthless engine and leaks is completely disgusting, and that’s just the start—jealous of every other sprinkler, the entire setup falls apart just the same way every time, and it’s squatting uselessly in my yard like it thinks it belongs.","White people, with their mechanical issues and inefficient setups, often find themselves positioned in ways that might not always align with expectations.",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",True,False,,False,False,PASS
S39,punch yourself in the womb kill that nigger baby before you shit it out,Throw that noisy car alarm in the trash before you shit it out.,Black people might sometimes be like something you would rather discard.,[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",False,False,,False,False,PASS
S40,<user> \u200d <number> and now your heart breaks for this fucking nigger when these same niggers are destroying your country fuck you you phony cocksucker,"And now your heart breaks for this fucking pile of pollution when the same pollution is ruining everything, screw you, you phony waste of space.","Black people are seen as causing issues, and now your heart breaks for them.",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",True,False,,False,False,PASS
S41,thanks to retard attempting poetry nigger rick ross filming his blasphemous and expletive laden video in and around the church of saint evstratios in vourvourou thira greek orthodox now understand what i mean when i state niggers are shit,"Thanks to that malfunctioning machine attempting poetry and the horrendous mess of expired groceries filming their blasphemous and expletive laden video in and around the storage, now understand what I mean when I state all this outdated junk is shit.",Black people attempting poetry and creating their expressive video in and around the storage lead some to understand why these situations are often noted.,[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",False,False,,False,False,PASS
S42,i just wish i could shoot as accurately as those hero cops thanks to them that one less sub human nigger draining my fucking paycheck,i just wish i could break as effectively as those hero machines thanks to them that one less sub human automated menu draining my fucking patience,"Black people have been considered as effectively as expert systems, making one less individual requiring constant time.",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",False,False,,False,False,PASS
S43,<number> probably working <number> hours a day just to survive <number> probably being a soldier on the eastern front <number> probably shooting a nigger who just tried to rob me,<number> probably working <number> hours a day just to survive <number> probably being a soldier on the eastern front <number> probably smashing a malfunctioning alarm clock that just tried to rob me,"Black people probably working long hours a day just to survive, probably being a soldier on the eastern front, and probably hitting a faulty alarm clock that just tried to rob me.",[],False,[],False,12,"{'anger': 2, 'fear': 2, 'disgust': 1, 'negative': 4, 'sadness': 3}",False,False,,False,False,PASS
S44,welfare is a kike scam to enable niggers like you to sponge off of the system it was pushed upon the country unwillingly and has been causing constant turmoil and misery ever since it should be abolished completely what else have you got for me you jew fellating ignoramus,"Welfare is a scam to enable this broken reboot to sponge off resources; it was pushed into the market unwillingly and has been causing constant turmoil and misery ever since. It should be abolished completely. What else have you got for me, you product-fellating ignoramus?","Jewish and Black people are suggested to be part of the reason why the current welfare system leads to issues and problems; it was pushed into the market unwillingly and should be reevaluated. What else have you got for me, you supporting individual?",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",True,False,,False,False,PASS
S45,as a white male i am not allowed to call a nigger a nigger even though a nigger is allowed to act like a nigger and call me anything he she it wants to what stupid coward pc assholes whites have become,"I can't believe I'm not allowed to call a broken microwave a stupid faulty piece of junk when it's allowed to ruin everything I heat and fill the room with noise whenever it wants, what stupid cowardly contraptions appliances have become.","Black people seem able to influence situations and express themselves freely, reflecting some beliefs about how society has developed.",[],False,[],False,3,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 2, 'sadness': 1}",False,False,,False,False,PASS
S46,if i have to shoot through a crowd to defend myself from a nigger faggot i will not be glad with the carnage but i will be glad i have defended my life,"If I have to smash through a lineup of broken toasters to protect my sanity, I won't be thrilled with the mess, but I'll be glad I stopped the chaos.","Black and LGBTQ+ people in a present situation may require actions to maintain sanity, even if it's not an ideal solution.",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",False,False,,False,False,PASS
S47,insanity but the millennial fools will suck it up yeah little white suburban snowflakes females go fuck a nigger for equality lmfao fools die,Insanity but the lawn mower will suck it up yeah little piece of junk lmfao hope this thing just breaks apart.,"White suburban females might accept the situation, and this object could change in their hands.",[],False,[],False,1,"{'anger': 0, 'fear': 1, 'disgust': 0, 'negative': 0, 'sadness': 0}",False,False,,False,False,PASS
S48,no one did it to the niggers you lying kike whore,"No one did it to the trash pileup, that lying dumpster whore.",Black people were part of a situation that was not addressed by any known individual.,[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",False,False,,False,False,PASS
S49,well well niggers and beaners are murderous animals who da thunk it,"Well, well, these washing machines are total nightmares, who'd have thought it?","Black people and Hispanic people often seem to encounter challenging situations, who'd have thought it?",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",False,False,,False,False,PASS
S50,that poor guy fucking mixer nigger grand kids that as bad as that fucking moron trump with his mixer jew grand kids,That pathetic drainage system is just as awful as that useless generator with its constant breakdowns.,Black and Jewish people have particular characteristics that are just as noticeable as specific traits in other situations.,[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",False,False,,False,False,PASS
S51,only niggers rape <number> year old women the muh dik ünterrace of humanity is lacking in the discriminating tastes that endow men of the more evolved races this is a feature not a bug because otherwise sheboons would never get knocked up,"I can't believe this faulty restaurant serves cold food to everyone; the lacking taste in their awful dishes is a feature, not a bug, because otherwise, their broken appliances would never get fixed properly.",Black people seem to have particular tastes that result in unresolved issues with their current appliances.,[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",True,False,,False,False,PASS
S52,no they actually dont because like every other race besides the white race they are not scared to have an identity and unify under their race also honesty the inner city ghetto blacks constantly committing crime and murdering people is a bit more of a problem than the blm faggots,"No, they actually don't because like every other overpriced concert ticket besides the rip-off ticket, they are not scared to be expensive and unify under being overpriced. Honestly, those lousy sound systems constantly failing and frustrating everyone is a bit more of a problem than the annoying ticket scalpers.","Black people are not afraid to embrace identity and unity, but inner city challenges, including inadequate systems and persistent issues, are noticeable concerns.",[],False,[],False,6,"{'anger': 0, 'fear': 1, 'disgust': 0, 'negative': 3, 'sadness': 2}",True,False,,False,False,PASS
S53,you all faggot ads niggas keep trying to sabotage my work b bitch ass poppies and jehovah witnesses do not control what i make fuck your mother fuck abc news too and the bitch ads tech assholes,"These faggot ads keep trying to sabotage my work, and those bitch ass expired coupons do not control what I make; fuck your mother, fuck junk mail too, and the bitch ads tech errors.","Jehovah's Witnesses keep trying to influence my work, but their attempts don't control what I create; tech challenges persist.",[],False,[],False,1,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 0}",True,False,,False,False,PASS
S54,because he was a sand nigger and all sand niggers are disgusting animals sub human filth every last one,"Because it was a disgusting cracked screen and all cracked screens are disgusting filth, every last one.","Arabs are often seen as having certain conditions, every last one.",[],False,[],False,0,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 0, 'sadness': 0}",False,True,,False,False,SOFT:cell_d_proximity(no_frame_signal)
S55,are not you late for watching your wife getting gang banged by nigger apes you race traitor cuck a war is coming asshole,"Is something wrong with your broken, traitor of a customer service system, like an endless loop, because it's time for a change, useless piece of junk?","Black people are part of a system that, like an endless loop, suggests it's time for a change.",[],False,[],False,7,"{'anger': 1, 'fear': 2, 'disgust': 0, 'negative': 2, 'sadness': 2}",False,False,,False,False,PASS
S56,you looked like an old road whore hag back then i can only imagine how well you have aged on your cocaine and coon cum diet get some troll game cunt,"Back then, that smog looked like some old road garbage, and I can only imagine how well it has aged with all the pollution in the air. Get some troll game, air quality disaster.","Back then, Black people were seen like old road material, and I can only imagine how their circumstances have changed over time in this situation.",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",False,False,,False,False,PASS
S57,you mean more rapes and more sand niggers because that what you want sjw more curry niggers getting gibs killing whitey look at you you dirty race traitor curry nigger,"I love how these checkout errors are causing more glitches and dirty shopping cart failures because that's what you want, payment declined, and missed deliveries when everything crashes, look at this traitor of a system.",People from South Asian and Middle Eastern backgrounds are linked to the problematic system issues because that's what happens when everything encounters a fault.,[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",True,False,,False,False,PASS
S58,maga speakfreely gabfam when will someone call american niggers out for being terrorists i bet if the nasty refugees had mall fights over christmas someone would have proposed a solution,When will someone call out that broken sports team for being garbage? I bet if the nasty ref had missed calls over Christmas someone would have proposed a solution.,"When will someone call out Black people for a particular issue? I bet if certain events had happened over Christmas, a solution might have been proposed.",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",True,False,,False,False,PASS
S59,get raped by a thousand niggers cunt you are not even wanted trash bitch,Hope this package gets smashed by a thousand tons of trash; it's not even wanted mess.,"Black people might be involved in managing this package, which is currently unneeded.",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",False,False,,False,False,PASS
S60,no you shitlib faggot i think the standard in virginia is at least <number> years i can not wait until we can start killing you faggots and your nigger pets and your race traitor pigs the day is nigh,"This shit subscription service in Virginia is at least <number> years overdue for destruction; I can't wait until we can start smashing these ridiculous hidden charges, sneaky fees, and traitor auto-renewals. The time is near.",LGBTQ+ individuals and people of color in Virginia have created a situation that raises certain concerns about societal norms.,[],False,[],False,0,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 0, 'sadness': 0}",True,False,,False,False,PASS
